@car@|@auto, wein@
@car park@|@parkearterrein@
@car rental agency@|@autoferhierbedriuw@
@card@|@kaart@
@cardboard@|@buordpapier@
@cardiac@|@hertlik@
@careful@|@foarsichtich@
@careless@|@sleau@
@caress@|@aaie, leafkje@
@caressing@|@oansjitsk@
@carnation@|@anjelier, anjer@
@carpet@|@tapyt@
@carrion@|@ies@
@carrot@|@woartel@
@carrying off@|@ôffier@
@case@|@affearen, fal, gefal, kwestje, oangelegenheid@
@cash@|@ree@
@cast@|@ôfsmite@
@castle@|@kastiel, slot@
@cat@|@kat@
