@broil@|@kepti (kepa/kepė) (orkaitėje)@
@broom@|@šluota@
@broth@|@sultinys@
@brother@|@brolis@
@brown@|@rudas@
@brown bear@|@rudasis lokys@
@brush@|@šepetys, teptukas, uodega (lapės ~)@
@Brussels@|@Briuselis@
@brutality@|@žiaurumas@
@brute@|@žvėris@
@bubble@|@burbulas, kunkuliuoti (liuoja/liavo), virti (verda/virė)@
@Bucharest@|@Bukareštas@
@bucket@|@kibiras@
@buckle@|@sagtis@
@Budapest@|@Budapeštas@
@budget@|@biudžetas@
@Buenos Aires@|@Buenos-Airesas@
@buffet@|@bufetas@
@buffet car@|@vagonas-restoranas@
@bug@|@blakė@
@bugaboo@|@baidyklė@
@bugbear@|@baidyklė@
@bugle@|@ragas@
@build@|@konstrukcija, statyti (stato/statė)@
@build (anat.)@|@konstitucija, kūno sudėjimas@
@builder@|@statybininkas@
@building@|@statyba@
@bulb@|@statyba, svogūnas (tulpės ~)@
@Bulgaria@|@Bulgarija@
@Bulgarian@|@bulgaras (-ė)@
@Bulgarian language@|@bulgarų kalba@
@bullet@|@kulka@
@bullock@|@jautis@
@burden@|@kryžius@
@burglar@|@įsilaužėlis@
@burglary@|@vagystė@
@Burmah@|@Birma@
@burn@|@degti (dega/dego)@
@burn out/down@|@sudeginti (sudegina/sudegino)@
@burn to ashes@|@sudeginti (ina/ino) į pelenus@
@burrial@|@laidotuvės@
@burrow@|@ola, urvas@
@burrow (in)@|@rausti (rausia/rausė)@
@burst@|@sprogimas, sprogti (sprogsta/sprogo), trūkti (trūksta/trūko)@
@burst (with sth.)@|@būti perkrautam, lūžti (lūžta/lūžo)@
@burst with envy@|@sprogti (gsta/go) iš pavydo@
@Buryatia@|@Buriatija@
@bus@|@autobusas@
@bush@|@krūmas@
@business@|@biznis, reikalas@
@business trip@|@komandiruotė@
@but@|@bet, o@
@butt (in)@|@kišti (kiša/kišo)@
@butter@|@sviestas@
@butterfly@|@drugys, peteliškė@
@button@|@klavišas, mygtukas, saga@
@button-hole@|@kilpa, skylutė sagai@
@buzz@|@zirzti (zirzia/zirzė)@
@by@|@arti, šalia@
@by heart@|@atmintinai@
@by now@|@iki, tuo tarpu@
@by rote@|@atmintinai@
@by the way@|@tarp kitko@
@bye! (to a man)@|@sudieu!@
@bye! (to a woman)@|@sudie!@
@Byelorussia@|@Baltarusija@
@Byelorussian@|@baltarusis (-ė)@
@cabbage@|@daržovė, kopūstas@
@cabbage soup@|@kopūstų sriuba@
@cabin@|@būda@
@cafe@|@kavinė@
@Cairo@|@Kairas@
@cake@|@tortas@
@calculate@|@apskaičiuoti (čiuoja/čiavo), skaičiuoti (čiuoja/čiavo), suskaičiuoti (čiuoja/čiavo)@
@Calcutta@|@Kalkuta@
@calendar@|@kalendorius@
@calf (of the leg)@|@blauzda@
@call@|@šaukti (šaukia/šaukė), vadinti (vadina/vadino)@
@call (at)@|@užeiti (užeina/užėjo)@
@call (on)@|@užeiti (užeina/užėjo)@
@call on@|@lankyti (lanko/lankė)@
@call together@|@sušaukti (sušaukia/sušaukė)@
@call up@|@skambinti (skambina/skambino)@
@caller@|@lankytojas@
@callous@|@bejausmis, tylus@
@callous man@|@bejausmis@
@calm@|@raminti (ramina/ramino), ramumas@
@calumny@|@šmeižtas@
@camel@|@kupranugaris@
@camomile (bot.)@|@ramunė@
@camomile tea@|@ramunėlių arbata@
@camp-fire@|@laužas@
@can@|@galėti (gali/galėjo)@
@Canada@|@Kanada@
@Canberra@|@Kanbera@
@candle@|@žvakė@
@candy@|@saldainis@
@canker (biol.)@|@vėžys@
@canteen@|@bufetas@
@canvas@|@drobė, paveikslas@
@canyon@|@tarpeklis (kalnų ~)@
@cap@|@kepurė@
@capability@|@sugebėjimas@
@cape (geogr.)@|@ragas@
@capital@|@sostinė@
@caprice@|@ožys, užsispyrimas@
@captain@|@kapitonas@
@captive@|@belaisvis@
@car@|@automobilis@
@car hire firm@|@automobilių nuomos punktas@
@car journey@|@kelionė automobiliu@
@car trip@|@kelionė automobiliu@
@caraway (bot.)@|@augalas, kmynas@
@caraway seeds@|@kmynai@
@card-playing@|@kortų lošimas@
@care@|@atsarga@
@care (of)@|@rūpestis, rūpinimasis@
@career@|@karjera@
@careful@|@atidus@
@careful person@|@kruopšus žmogus@
@carefully@|@atsargiai@
@careless@|@apsileidęs@
@carnival@|@karnavalas@
@carol@|@daina@
@Carpathians@|@Karpatai@
@carpenter@|@dailidė@
@carpet@|@kilimas@
@carriage@|@vagonas@
@carriageway@|@važiuojamoji kelio dalis@
@carry@|@vežti (veža/vežė)@
@carry out@|@atlikti (atlieka/atliko)@
@cart@|@vežimas, vežti (veža/vežė)@
@cartage@|@vežimas@
@carting@|@vežimas@
@case@|@atsitikimas, atvejis, byla (teismo ~), dėžutė, futliaras@
@case (gram.)@|@linksnis@
@case inflexion@|@linksnio galūnė@
@cash@|@grynieji, kasa (pinigų ~)@
@cask@|@statinė@
@Caspian Sea@|@Kaspijos jūra@
