@to eat@|@ësse@
@to eat (animals)@|@frësse@
@to fall@|@ãnnefãlle, fãlle, kéïje, müen@
@to feel@|@schmecke@
@to find@|@finde@
@to flee@|@flichte@
@to fly@|@stëhle@
@to fly by plane@|@flieje@
@to forget@|@vergësse@
@to frequent (love)@|@schdibbe@
@to frequent love@|@schdibbe@
@to give@|@gënn@
@to go@|@gehn@
@to go on horseback@|@rite@
@to grow@|@wãchse@
@to guess@|@rote@
@to harvest@|@ërne@
@to have a grain@|@schbârre@
@to have the right of@|@dërfe@
@to help@|@hëlfe@
@to hesitate@|@nitt wisse, wãs mãche@
@to hiss@|@pfife@
@to hoe@|@jäde@
@to hurl down@|@iäschde@
@to inflate@|@ufpumpe@
@to jump@|@hübse, hüpse, hüpse, springe@
@to kiss@|@schmutz, schmutz, schmutze@
@to knock@|@stosse@
@to know@|@kënne@
@to laugh@|@lãche@
@to laugh stupidly@|@kidere@
@to learn@|@lehre@
@to leave@|@furtgehn@
@to let@|@lonn@
@to like@|@lieb hän, lieb hãn@
@to live@|@wohne@
@to lose@|@verliere@
@to make@|@düen, màche@
@to measure@|@mësse@
@to meet@|@trëffe@
@to obey@|@horiche@
@to paint@|@mole@
@to pinch@|@pfetze@
@to play@|@spiele@
@to prick@|@stëche@
@to pull@|@rïsse, zeje@
@to pull a shot@|@schiesse@
@to rain strong@|@s'bâdschd@
@to reach@|@trëffe@
@to read@|@läse, lëse@
@to reap@|@mäje@
@to remain@|@bliiwe@
@to resemble@|@glïche@
@to resound@|@ràpple@
@to rest@|@bliwe@
@to roar@|@schëlte@
@to rob@|@schdibse@
@to roll@|@fàhre@
@to roll by vehicle@|@fãhre@
@to rummage@|@nüele@
@to run@|@laufe@
@to sail@|@Schiff fãhre@
@to say@|@saawe@
@to scream@|@briele@
@to see@|@sähn, sëhn@
@to shine@|@schine@
@to shoot@|@filme@
@to sing@|@singe, singe@
@to sleep@|@schlofe@
@to sound@|@schëlle@
@to speak@|@redde@
@to speed along@|@rãse@
@to spit@|@schbidze@
@to stink@|@stinke@
@to stop@|@hãlte@
@to sweep@|@fäje@
@to swim@|@schwimme@
@to take@|@nëmme@
@to throw@|@schmisse, schmïsse, wërfe@
@to throw to the trash can@|@wëgwërfe@
