@English@|@Indonesian@
@adverse@|@berlawanan, kurang menguntungkan, merugikan@
@adversity@|@kesulitan, sial@
@advertise@|@memberi-tahu, mengiklankan@
@advertisement@|@adpertensi, iklan, iklan, pemberitahuan@
@advertisement; me-kan@|@iklan, reklame@
@advertiser@|@pemasang iklan@
@advice@|@nasehat, nasihat@
@advisable@|@bijaksana@
@advise@|@berita, memberitahukan, menasehati, mensasihatkan@
@advise s.o.@|@nasihat@
@advisory@|@berhak memberi nasehat, sbg penasehat@
@advocacy@|@pembelaan@
@advocate@|@awam, membela, pembela, pengacara@
@adze@|@alat utk memberi bentuk pd kayu (ukir)@
@aerate@|@memompa udara/gas@
@aerial@|@antena, dari/di udara, khayal, tipis sekali@
@aero-@|@ttg udara/penerbangan@
@aerodrome@|@lapangan terbang@
@aeronautical@|@berkeitan dgn penerbangan@
@aeroplane@|@pesawat terbang@
@aesthetic@|@berhub dgn keindahan alam/seni@
@aesthetics@|@pelajaran ttg prinsip keindahan@
@afar@|@jauh@
@afektif@|@yg menyangkut affect@
@afektivitas@|@kehidupan->afektif sbg keseluruhan@
@affability@|@kebaikan hati, keramahan, kesopanan@
@affable@|@baik, baik-haiti, mudah diajak bicara, ramah@
@affair@|@peristiwa, perkara, urusan, urusan, usaha@
@affair of honour@|@duel demi kehormatan@
@affect@|@aruh ... mempengaruhi, berpura2, mempengaruhi, perasaan/emosi, suka akan, terharu@
@affectation@|@kelakuan yg dibuat2@
@affected@|@dibuat2@
@affected; subjected to; meng-i@|@kena@
@affecting@|@mengharukan@
@affection@|@kasih sayang, penyakit@
@affection;@|@kasih@
@affectionate@|@menunjukkan rasa kasih sayang@
@affectionately@|@dgn kasih sayang@
@affidavit@|@pernyataan tertulis utk sumpah@
@affiliate@|@berhub dgn, menerima sbg anggota/cbg dr suatu golongan@
@affiliation@|@hubungan@
@affinity@|@daya tarik, hub kekerabatan@
@affirm@|@membenarkan, mengesahkan, meyakinkan@
@affirmation@|@pengesahan pernyataan seseorg yg tdk mau diambil-, sumpahnya@
@affirmative@|@ya@
@affix@|@bubuh, imbuhan, membubuhkan, menempelkan@
@afflict@|@menderita, menyebabkan sakit, susah@
@affliction@|@kesusahan, penderitaan@
@affluence@|@kekayaan, kemakmuran@
@affluent@|@kaya, makmur, mewah@
@afford@|@mampu, memberi, menyediakan, sanggup@
@afforest@|@menjadikan hutan@
@affray@|@berkelahi di dpn umum, kegaduhan@
@affright@|@menakuti, menakutkan@
@affront@|@menghina (di dpn umum)@
@afield@|@di perantauan@
@afiliasi@|@hubungan@
@afire@|@berapi, membara, menyala, terbakar@
@aflame@|@berkobar2, terbakar@
@afloat@|@di laut/kapal, mulai, terapung2, tersebar, tersiar@
@afoot@|@sedang tjd/berlaku@
@afore@|@aforesaid spt di atas, spt aforementioned@
@afraid@|@kuatir, takut@
@afraid; men-kan@|@takut@
@afraid; waver@|@jeri@
@afraid; wrinkled/shriveled/shrunken; seared; peng-@|@kecut@
@afresh@|@dgn cara baru, lagi@
@aft@|@di/ke buritan kapal@
@after@|@kelak, lepas, one ~ one:satu-persatu, sesudah, setelah, sudah, usai@
@after all@|@meskipun@
@after sales; - sarana@|@purna@
@after that@|@lalu, terus@
@after; men-(kan)@|@telah@
@aftermath@|@akibat, kelanjutan@
@afternoon@|@petang@
@afternoon (between 3:00 till 6:00)@|@sore@
@afterthought@|@pikiran yg datangnya kemudian@
@afterwards@|@kemudian, kmdn, lanjut, sesudah itu, setelah@
@again@|@lagi, pula@
@again; still@|@lagi@
@against@|@bersandar, hadap, lawan, utk persediaan@
@agape@|@tercengang, ternganga@
@agape; wide open@|@celangap@
@age@|@umur@
@age; lifespan; at the age of; se-(an)@|@umur@
@age; se-@|@usia@
@aged@|@berumur@
@aged; separuh/setengah -@|@baya@
@ageless@|@tdk pernah tua@
@agelong@|@seabad lamanya@
@agency@|@agen, aparat(ur), kantor, the ~ of water on rocks:pengaruh/kerja thd karang, through the ~ of friend:dgn perantara teman, usaha@
@agency; instance@|@instansi@
@agenda; - bahasa@|@tata@
@agenda; schedule; procedure (judicial); peng-@|@acara@
@agent@|@agen, antar, pengaruh, penyebab@
@aggravate@|@memperburuk, memperuncing, menjengkelkan, parah@
@aggravation@|@kejengkelan@
@aggregate@|@keseluruhan@
@aggressiveness@|@agresivitas@
@aggrieved@|@merasa diperlakukan kurang adil, tersinggung@
@aghast@|@ketakutan, tercengang@
@agile@|@cekatan, lincah, tangkas@
@agile; skillful@|@gesit@
@agility@|@kelincahan, ketangkasan@
@agitasi@|@hasutan@
@agitate@|@berguncang, berusaha mendptkan, menakut2i, mengganggu@
@agitation@|@hasutan@
@agitation; peng-@|@hasut@
@agitator@|@penghasut@
@agitator/trouble maker@|@kacau@
@agitator; peng-an@|@hasut@
@aglow@|@berseri2, membara@
@agnostig@|@tdk percaya pd Tuhan/takhyul kec barang yg tampak@
@agog@|@berdebar2, ingin sekali, penuh perhatian@
@agonizing@|@menyebabkan menderita@
@agony@|@penderitaan batin/sakit@
@agree@|@setuju, setuju@
@agree on; kese-an@|@pakat@
@agree/in accordance w/@|@patut@
@agreeable@|@menyenangkan@
@agreed@|@sepakat@
@agreed/unaminously; menye-i@|@pakat@
@agreement@|@persetujuan@
@agreement; discussion/convention; se-@|@pakat@
@agregat@|@keseluruhan@
@agriculture@|@pertanian@
@agriculture; ber-@|@tani@
@aground@|@terdampar@
@ague@|@demam malaria@
@ahead@|@sebelumnya@
@ahead of time; se- mungkin@|@dini@
@ahoy@|@seruan (pelaut)!@
@aid@|@bantu, bantu ... membantu, bantuan, membantu, menolong, pembantu, tolong@
@aid; -an@|@sokong@
@aide-de-camp@|@ajudan jenderal@
@ail@|@askit, mengganggu, menyusahkan@
@ailment@|@penyakit@
@aim@|@bidikan, cita2, juntrung, maksud, tujuan@
@aim (gun@|@incar@
@aim ; ber-@|@niat@
@aim/point; -an@|@alir@
@aim; -an; aim@|@tuju@
@aim; intention@|@maksud@
@air@|@angin, hawa, jernih, lagak, lagu, melodi, menyatakan pendapat, sombong, udara, udara@
@air current; electrical current@|@imbas@
@airborne@|@naik/diangkut dgn pesawat@
@aircraft@|@pesawat udara@
@airfield@|@lapangan udara@
@airhostess@|@pramugari@
@airily@|@dgn bermain2, dgn gembira@
@airline@|@prshn/maskapai penerbangan@
@airliner@|@kapal terbang pengangkut org scr teratur@
@airmail@|@pos udara@
@airman@|@penerbang, pilot@
@airplane@|@pesawat, pesawat terbang@
@air-plane@|@pesawat terbang@
@airplane; men-(kan)@|@terbang@
@airport@|@bandara, lapangan-terbang@
@airscrew@|@baling2 kapal@
@airtight@|@kedap udara@
@airy@|@banyak angin, ria, tdk sungguh2@
@aisle@|@jln di antara deretan kursi (di gereja/bioskop)@
@aitch@|@H@
@ajar@|@terbuka sedikit (pintu)@
@akimbo@|@with arms ~:bertolak pinggang@
@akin@|@sama, sejenis, termasuk keluarga@
@aktus@|@perbuatan@
@aku@|@gue@
@akuisisi@|@pendapatan, perolehan@
@alabaster@|@batu perhiasan warna putih@
@alacrity@|@kerelaan, kesediaan@
@alarm@|@beker@
@alas@|@aduh!, sayang!, wah!@
@albatross@|@burung putih besar di Pasifik/Lautan Selatan@
@albumen@|@zat putih telur@
@alchemist@|@ahli kimia kuno@
@alchemy@|@ilmu kimia kuno (logam jadi emas)@
@alchoholic; -an@|@minum@
@alcove@|@ruang kecil dlm kamar utk tempat tidur/kursi/meja@
@alderman@|@anggota tertua dewan kota di Inggris@
@ale@|@bir tak berwarna@
@alfresco@|@di tempat terbuka@
@alibi@|@bukti bhw seseorg di tempat lain pd suatu saat@
@alien@|@asing, asing, asing@
@alienate@|@memindahkan hak, merenggangkan hub keluarga/kasih sayang@
@alienation@|@kerenggangan hubungan@
@alight@|@cerah & gembira, dinyalakan, hinggap, menyala@
@align@|@meluruskan@
@alignment@|@baris, deretan@
@alike@|@mirip, sama@
@alimentary@|@~ canal:saluran pencernaan@
@alimentary canal@|@saluran pencernaan@
@alimony@|@tunjangan suami utk istri yg diceraikannya@
@aline@|@=align@
@alkali@|@basa@
@alkaline@|@bersifat basa@
@all@|@genap, semua, tiap@
@all along; as far as; - labar@|@panjang@
@all at once@|@sekaligus@
@all for@|@dgn senang hati, setuju sekali@
@all gone; completely destroyed; extinguished (of flame)@|@ludes, ludas@
@all in@|@kecapaian@
@all in all@|@amat mencintai, meskipun begitu@
@all inclusive; meny-@|@seluruh@
@all kinds of vegetables@|@sayur@
@all out@|@berusaha sekuat tenaga@
@all over@|@di mana2@
@all over again@|@lagi, pula@
@all the more@|@makin, semakin@
@all the more; se-@|@kian@
@all; @@ the same time@|@kalian@
@allay@|@mengurangi/meringankan beban/sakit@
@allegation@|@pernyataan, tuduhan@
@allege@|@membenarkan, mengemukakan, menuduh, menyatakan@
@allegiance@|@kepatuhan, kesetiaan pd negara/tugas@
@allegorical@|@bersifat kiasan@
@allegory@|@cerita perumpamaan yg utuh@
@alleviate@|@meringankan penderitaan@
@alley@|@blind ~:jln buntu, gang, jln kecil di antara dua gedung@
@alliance@|@persekutuan@
@allied@|@=ally, bersekutu bdsrk persetujuan/kepentingan bersama, sekutu@
@alligator@|@buaya, semacam buaya@
@alliteration@|@kata/bunyi/huruf yg diulang2 pd suatu karangan@
@allocation@|@untuk@
@allot@|@membagikan, menentukan bagian seseorg@
@allotment@|@(di Inggris):tanah sewa utk tani, bagian, jatah, untuk@
@allow@|@boleh, memperbolehkan, perbolehkan@
@allow for@|@memberi peluang, mempertimbangkan, menyediakan@
@allow to become more -; ke-an@|@matang@
@allow; Per-kanlah kami ...@|@kenan@
@allowance@|@memperhitungkan, mengingat, tunjangan, uang saku@
@allowed@|@halal@
@alloy@|@campuran logam@
@allright@|@baik@
@allude@|@mengarahkan, menyindir@
@allude to@|@kias, mengarahkan, menunjukkan, menyindir@
@allure@|@memikat, menggoda@
@allurement@|@bujukan, daya tarik, godaan@
@allusion@|@bayangan, sindiran@
@alluvial@|@endapan (terbawa sungai & hujan)@
@ally@|@berhub dgn, bersatu, bersekutu@
@ally; ber-@|@sekutu@
@almanac@|@penanggalan@
@almighty@|@yg Maha Kuasa@
@almond@|@kacang/biji semacam pohon perdu (badam)@
@almost@|@hampir@
@almost blind@|@lamur@
@alms@|@derma, derma, sedekah@
@almshouse@|@rumah penampungan sosial@
@aloe@|@obat@
@aloft@|@di atas/ujung tiang layar/geladak@
@alone@|@sendiri@
@alone; ke-an@|@sendiri@
@along@|@come ~:mari, run ~:pergilah, sepanjang@
@along w/; meny-kan@|@samping@
@along with@|@serta@
@alongside@|@di sepanjang tepi@
@aloof@|@terasing, terpisah, tersendiri@
@aloof from; set / put s.t. aside@|@sisih@
@aloofness@|@menjauh, sikap menyendiri@
@aloud@|@keras, nyaring@
@alpaca@|@bahan dr kulit kambing Peru, kambing dr Peru@
@alphabet@|@abjad@
@alpine@|@berhub dgn lereng pegunungan@
@already@|@sudah@
@already open; open (of feelings@|@terbuka@
@already; se-@|@sudah, telah@
@also; too@|@juga@
@alter@|@berubah, lead the woman to ~:mengawini seorg gadis@
@alteration@|@pergantian, perubahan@
@altercation@|@pertengkaran (mulut)@
@alternate@|@bergantian, bergiliran, gilir@
@alternately/ing (gilir); intermittent; tak lama ber-@|@selang@
@alternation@|@giliran, pergantian@
@although@|@maupun, walaupun@
@although; just because@|@mentang@
@although; not to mention@|@kendati@
@althought@|@meski, meskipun@
@altimeter@|@alat pengukur tinggi tempat@
@altitude@|@ketinggian@
@altogether@|@pd-, pendek kata, sama, sama sekali, sama sekali, seluruhnya, semua, sungguh, umumnya@
@altruism@|@sikap mendahulukan kepentingan umum@
@altruist@|@org yg bersikap mendahulukan kepentingan umum@
@altruistic@|@bersikap mendahulukan kepentingan umum@
@alusi@|@cara tak langsung utk menunjukkan/membicarakan -, sesuatu@
@always@|@selalu, senantiasa@
@amalgam@|@campuran air raksa dgn logam lain@
@amalgamate@|@menggabungkan, menyatukan@
@amass@|@menimbun, menumpuk@
@amat)@|@sekali@
@amateurish@|@kurang ahli, tdk mahir@
@amaze@|@heran, takjub, tercengang@
@ambassador; Kedubes@|@duta@
@amber@|@batu ambar@
@ambiguity@|@punya banyak arti@
@ambiguous@|@menyangsikan, meragukan, tdk pasti@
@ambivalence@|@2 perasaan yg bertentangan@
@ambivalent@|@perasaan yg bertentangan@
@ambivalent; unsettled@|@bata2@
@amble@|@melangkah pelan2 & tenang@
@ambush@|@serangan mendadak, sergap, sergapan@
@ambush; block; wait for parade to go by@|@hadang@
@ameliorate@|@memperindah, perbaikan@
@amenable to@|@dpt dipimpin/dibujuk/dibuktikan@
@amend@|@memperbaiki, merubah@
@amendment@|@perubahan@
@amends@|@ganti rugi@
@amenity@|@keenakan, kenikmatan, kenyamanan, kesedapan, kesenanga@
@Amerika Serikat@|@A.S.@
@amethyst@|@batu kecubung@
@amiability@|@kebaikan hati, keramahan@
@amiable@|@baik hati, menyenangkan, ramah@
@amicable@|@berdamai, bersahabat@
@amid@|@di tengah2@
@amidships@|@bagian tengah kapal@
@amidst@|@=amid@
@amiss@|@kekurangan, kesalahan, ketidakberesan@
@amity@|@persahabatan, sikap ramah@
@amnesia@|@kehilangan daya ingat@
@amnesty@|@pengampunan thd tahanan politik@
@amok@|@amuck@
@amorous@|@menunjukkan rasa cinta, mudah jatuh cinta@
@amorphous@|@tanpa bentuk@
@amortisasi@|@pelunasan@
@amount@|@berarti, jml, jumlah, jumlah, sama dgn, seluruhnya@
@amphitheatre@|@1/2 lingkaran, kursi tersusun-, teater/gelanggang di ruang terbuka@
@ample@|@banyak tempat, lapang, lebih dr cukup, luas@
@amplify@|@memberikan keterangan lebih detail@
@amply@|@dgn luas/lapang@
@amputate@|@memotong anggota tubuh@
@amuck@|@mengamuk@
@amulet@|@jimat utk keselamatan@
@amuse@|@hibur@
@amused; tickled;@|@geli@
@amusement@|@hiburan@
@amusing@|@lucu@
@an@|@biasa@
@-an@|@alas, cadang, catat, cekikik, dukung, endap, ganjal, gelandang, genang, gunjing, kilas, lapis, libur, naung, patung, ramal, rumus, salur, saran, terka@
@an armful; menye-kan@|@rangkum@
@an instant@|@ketika@
@-an lap; (me)m-@|@pangku@
@anachronism@|@tdk sesuai dgn jaman@
@anaemia@|@kurang darah, pucat@
@anaemic@|@kurang darah, pucat@
@anaesthesia@|@bius, kead tdk sadar@
@anagogis@|@simbolis@
@anagram@|@kata2 yg disusun dgn huruf2 yg sama:otak & kota@
@anak; child; -2@|@kanak@
@analogous@|@analogi, yg dpt dibandingkan@
@analysis@|@analisis, urai@
@analyze@|@bahas, pecah@
@anarchism@|@teori politik yg tdk mengizinkan pemerintahan@
@anarchist@|@penganut teori anarchism@
@anarchy@|@kekacauan, tanpa pemerintahan@
@anarki@|@kekacauan, tanpa pemerintahan@
@anaschronistic@|@tdk sesuai dgn jaman@
@anasthetist (anestesi)@|@bius@
@anathema@|@kutukan, sesuatu yg dibenci@
@-ance@|@gigih@
@-ance; -2an@|@mirip@
@ancestor@|@karuhun, nenek moyang@
@ancestors@|@luluhur@
@ancestral@|@nenek moyang@
@ancestry@|@asal-usul, leluhur yg menurunkan@
@anchor@|@jangkar@
@anchorage@|@tempat kapal berlabuh@
@ancient@|@kuno@
@ancillary@|@bawahan, simpangan, tambahan@
@and@|@dan, serta@
@and mouth) (racun); ber-@|@bisa@
@and then@|@terus@
@anecdote@|@cerpen nyata yg jenaka@
@aneksasi@|@penambahan wilayah suatu negara@
@aneroid barometer@|@barometer dgn perantaraan pengaruh udara pd tutup-, tabung hampa@
@anesthetic@|@obat bius@
@anew@|@dgn cara baru, lagi, lagi, pula@
@angel@|@bidadari, malaikat, malaikat, utusan Tuhan@
@angel; white ghost;@|@peri@
@angelic@|@bidadari, spt malaikat, suci@
@anger@|@marah, marah@
@angle@|@pandangan, pendapat, sudut, umpan@
@angle; direction from which s.t. comes@|@penjuru@
@angler@|@pemancing@
@anglican@|@gereja Inggris@
@anglicize@|@menginggriskan@
@Anglo-@|@bersifat Inggris@
@angry@|@marah@
@angry in a suppresed way@|@gondok@
@angry; furious; irate; anger@|@berang@
@angry; meng-i be angry at s.o@|@gusar@
@anguish@|@penderitaan (batin) berat@
@angular@|@bersudut runcing, kurus kering@
@animal@|@binatang@
@animal fur etc.)@|@surai@
@animal husbandry@|@ternak@
@animals@|@pirang@
@animate@|@menghidupkan, menyemarakkan, meramaikan@
@animated@|@bersemangat, hidup, jiwa@
@animation@|@berseri2, semangat@
@animosity@|@kebencian, permusuhan@
@ankle@|@pergelangan kaki@
@ankle; - tangan@|@gelang@
@annals@|@catatan sejarah/penemuan/hikayat@
@anneal@|@mendinginkan logam/gelas pd waktu penempaan@
@annex@|@penambahan, penggabungan@
@annexation@|@aneksasi:penggabungan, penyatuan@
@anniversary@|@ultah@
@annotate@|@menambahkan catatan@
@annotation@|@catatan, catatan, penjelasan, penjelasan@
@announce@|@memberi-tahu@
@announce (decree@|@awam@
@announce w/ ceremony; propagandize/tout; ter-@|@canang@
@announce/notify; publish; peng-an@|@umum@
@announced; meny-kan@|@siar@
@announcement; ke-an@|@umum@
@annoy@|@mengganggu, menjengkelkan@
@annoy; -an@|@gangu@
@annoyance@|@gangu, kejengkelan, terganggu@
@annoyed@|@gemas@
@annoyed; irritated; irked@|@jengkel@
@annoying; bothering others@|@usil@
@annual@|@tahunan@
@annuity@|@tunjangan tahunan@
@annul@|@batalkan, membatalkan, membatalkan@
@anomalous@|@menyimpang, tdk lazim, tdk normal/beraturan@
@anomaly@|@kelainan, penyimpangan@
@anonymous@|@dgn nama tak dikenal, tanpa nama@
@anonymously@|@tanpa nama, tdk dikenal@
@anorak@|@jaket/jas tahan angin/air@
@answer@|@bertanggung jwb, menebus, menjawab@
@answer s.o.'s call@|@sahut@
@answer to@|@sesuai/cocok dgn@
@answer; ber-@|@sambut@
@answerable@|@bertanggung jwb atas@
@answered@|@kabul@
@ant@|@semut@
@ant hill@|@liang semut/rayap@
@antagonism@|@kedengkian, perasaan benci/memusuhi, permusuhan@
@ante-@|@sebelum@
@antecedent@|@mendahului, riwayat, sejarah@
@anterior@|@datang sebelum wkt/gilirannya, lebih dulu@
@anteroom@|@kamar kecil menuju ke kamar yg lebih bsr@
@anthem@|@lagu kebaktian gereja/kebangsaan@
@anther@|@kepala putik@
@anthology@|@kumpulan sajak 1/bbrp pengarang@
@anthracite@|@batu bara@
@anthrax@|@penyakit ternak yg dpt menular pd mns@
@anthropology@|@pengetahuan ttg mns & segala aspeknya@
@anti Semite@|@anti bgs Yahudi@
@anticipation@|@harapan, pengharapan@
@antics@|@gerakan jenaka@
@anticyclone@|@daerah bertekanan udara tinggi@
@antidote@|@obat penawar racun/kuman@
@antipathy@|@antipati@
@antipodes@|@belahan bumi yg lain@
@antiquarian@|@barang kuno@
@antiquary@|@berdagang, kolektor barang kuno, org yg belajar@
@antiquated@|@kolot@
@antique@|@antik, kuno@
@antiquity@|@peninggalan kuno, permulaan sejarah, zaman dulu@
@antiseptic@|@bahan pembasmi kuman@
@antithesis@|@penyatuan pendpt yg berten, perlawanan, pertentangan, tangan@
@antitoxin@|@penawar kuman, serum@
@antler@|@tanduk kijang yg bercabang@
@antonym@|@lawan kata@
@ants@|@keliar@
@anvil@|@landasan utk menempa logam yg dibakar@
@anxiety@|@khawatir, minat bsr@
@anxious@|@berminat bsr, khawatir, waswas@
@anxious/restless@|@melang@
@anybody@|@siapa@
@anything@|@barang@
@anything; anywhere@|@manapun@
@apace@|@dgn cepat2@
@ap'ance@|@tampil@
@apart@|@berjarak, berjauhan, cerai-berai, hancur, ke samping, khusus, memisahka, tersendiri@
@apart; -an@|@sendiri@
@apartheid@|@politik pembedaan ras di Afrika Selatan@
@apartment@|@flat@
@apathetic@|@masa bodoh@
@apathy@|@masa bodoh@
@ape@|@kera, kera bsr yg berjln tegak (simpanse/gorila), menirukan dgn bodohnya@
@apendicitis@|@penyakit usus buntu@
@aperture@|@lubang kecil sempit (utk chy masuk pd alat ilmiah)@
@apex@|@puncak, tertinggi@
@aphorism@|@peribahasa@
@apiece@|@masing2, tiap@
@aplogy@|@maaf, pembelaan diri@
@Apocalypse@|@Wahyu@
@apocrypha@|@buku2 yg tdk-, dimasukkan dlm Perjanjian Lama, tulisan yg diragukan pengarangnya@
@Apocrypha@|@Deuterokanonika@
@apologetic@|@menyesali, minta maaf@
@apologize@|@minta maaf@
@apoplectic@|@lekas marah, menderita kerusakan pd otak@
@apoplexy@|@penyakit krn kerusakan otak@
@apostle@|@guru suatu ajaran/gerakan, kesederhanaan, pemimpin/-, pengikut Kristus pengembang agama, rasul@
@apostolic@|@berasal/spt rasul@
@appal@|@ketakutan, mengejukan, mengerikan@
@appallingly@|@scr menakutkan@
@apparatus@|@aparat(ur)@
@apparel@|@baju, gaun, gaun, pakaian, pakaian@
@apparent@|@jelas, kelihatan, nyata, terang@
@apparently@|@ecek, kelihatannya, rupa, rupanya, tampaknya@
@apparently (tampaknya@|@nyata@
@apparently (ternyata); - kentara@|@tampak@
@apparition@|@penampakan hantu/roh@
@appeal@|@memohon, naik banding, permintaan, permohonan@
@appeal to@|@daya tarik, menarik perhatian@
@appeal; -an@|@imbau, himbau@
@appear@|@datang, kelihatannya, muncul, muncul, nongol, tampak, tampaknya, tampil ke dpn@
@appear on stage@|@panggung@
@appear partially@|@sembul@
@appear suddenly@|@cemuh@
@appearance@|@hatannya, kedatangan, keli-, menghadiri, penampakan, penampilan, tampaknya@
@appearance; show off (in nice way); ber-@|@tampang@
@appeared/looked like@|@tampang@
@appease@|@memenuhi keinginan, memuaskan, meredakan@
@appeasement@|@penenangan, penyabaran@
@appellation@|@gelar, nama, sistem nama@
@append@|@lampir@
@append to s.t.; enclose (me-kan) attach@|@lampir@
@appendage@|@lampiran, sambungan, tambahan@
@appendix@|@lampiran, tambahan@
@appendix/supplement@|@susul@
@appertain@|@berhubungan dgn, tergolong, termasuk@
@appetite@|@nafsu makan, selera@
@appetite; taste/preference; lust/desire@|@selera@
@appetizing@|@menimbulkan selera, sedap@
@applaud@|@bersorak2, memberikan pujian dgn tepuk tangan@
@applaud; men-@|@tampar@
@applaud; meng-(kan)@|@keplok@
@applause@|@pujian, sorak, sorak2 & tepuk tangan@
@applause; ber-@|@keplok@
@appliance@|@perkakas, perlengkapan@
@applicant@|@pelamar@
@application@|@ke-, lamar, lamaran, minat, penerapan, penggunaan, perhatian, permohonan, tekunan, usaha@
@applied@|@dilaksanakan, dipergunakan, dipraktekkan@
@apply@|@melamar, memakai, memasang, memperuntukkan, mendaftarkan, menerapkan, menggunakan@
@apply to@|@berhub, berlaku@
@appoint@|@memilih, menentukan wkt, mengangkat, menunjuk, tempat utk sesuatu@
@appoint as -)@|@wakil@
@appointment@|@jabatan, janji, pekerjaan, pengangkatan, penunjukan@
@apportion@|@membagikan di antara, memberi bagian@
@apposition@|@keterangan pengganti@
@appraisal@|@memperkirakan harganya, taksir@
@appraise@|@menaksir, taksir@
@appraise s.t.; appreciate s.t.@|@harga@
@appraise; -an@|@taksir@
@appreciable@|@kentara@
@appreciate@|@bernilai le-, berterima kasih, bih tinggi, menghargai, menyukai@
@appreciative@|@bisa menghargai@
