@English@|@Haitian creole@
@ash@|@sann@
@Ash Wednesday@|@mèkredi lèsann@
@ashamed@|@ront@
@ashore@|@atè@
@ashtray@|@sandriye@
@aside@|@akote, sou kote@
@ask@|@mande@
@ask yourself@|@mande tèt ou@
@askew@|@krochi@
@asleep@|@nan dòmi@
@aspect@|@aspè@
@asphalt@|@asfalt@
@ass@|@bounda, bourik, dèyè@
@assail@|@asayi, atake@
@assassinate@|@ansasinen, asasinen, sasinen@
@assemble@|@fè pil, mete ansanm, monte 2, moute 2@
@assembly@|@asanble@
@assert@|@revandike@
@assign@|@deziyen@
@assignment@|@asiyasyon, misyon@
@assist@|@segonde@
@assistance@|@abrejman an, abrejman an, asistans@
@assistant@|@adjwen an@
@associate@|@asosye@
@associate with@|@mete avèk, sèvi avek@
@assume@|@sipoze@
@assurance@|@asirans@
@assure@|@asire@
@asterick@|@asteris*@
@asthma@|@opresyon an@
@astonish@|@siprann, vapore@
@astonished@|@etone@
@astonishment@|@komabo, koumabo@
@astound@|@fè sote, pantan@
@astute@|@rize@
@asunder@|@kase ande@
@asylum@|@azil@
@at@|@a, a 2, nan 2, o 2@
@at a late and inopportune hour@|@alèrending@
@at a time@|@a la fwa, alafwa@
@at about midnight@|@vè minui@
@at all@|@du tou, menm 2@
@at any rate@|@an tou ka, antouka@
@at attention@|@o gadavou, ogadavou@
@at close range@|@aboupòtan, aboupòtan@
@at dawn@|@gran maten@
@at ease@|@a lèz, alèz@
@at fault@|@an tò, antò@
@at five shrp@|@a senkè tapan@
@at him@|@sou li@
@at home@|@lakay@
@at last@|@anfen@
@at least@|@omwen, omwens@
@at my wits end@|@abou@
@at night@|@leswa@
@at one point@|@rive yon lè@
@at peace@|@anpè@
@at that@|@pou sa 2@
@at that time@|@lè sa a@
@at the@|@lan, nan 2@
@at the bottom of@|@anba 3@
@at the entrance@|@alantre@
@at the head of@|@a la tèt, aletèt@
@at the house of@|@ka, lakay@
@at the latest@|@oplita@
@at the level of@|@ra 2@
@at the moment when@|@lemoman@
@at the point of@|@sanlè@
