@farther@|@viðara@
@fashion@|@leið@
@fashioned@|@háttaðr@
@fast@|@fast, fastr@
@fasten (v)@|@festa, kneppa, strengja@
@fat@|@feitr@
@fate@|@forlǫg, hluti@
@fated@|@ætla, auðit@
@father@|@faðir@
@fault_finding@|@atmælasamr@
@favor@|@hylli@
@favorite@|@vilðarmaðr@
@fear@|@æðra, hræzla, ótti@
@fear (v)@|@ugga@
@feast@|@boð, gildi, mannboð, veizla@
@feast_day@|@messa@
@feather@|@fjǫðr@
@feather_coat@|@fjaðrhamr@
@feathers@|@fiðri@
@feature@|@álit@
@feed (v)@|@ala, fœða@
@feel (v)@|@kenna@
@fell@|@fjall@
@fellow@|@bokki, félagi@
@fellow_countryman@|@landi@
@felt@|@þófi@
@fen@|@fen@
@fence@|@garðr@
@festival@|@boð@
@fetter@|@band, fjǫturr@
@few@|@fár@
@field@|@akr, vǫllr@
@fields@|@bjǫð@
@fierce@|@atall, grimmr@
@fiercely@|@harðliga@
@fiercest@|@harðaz@
@fiery@|@ǫndóttr@
@fifteen@|@fimtán@
@fight@|@bardagi, barsmið, sókn, víg@
@fighter@|@vígamaðr@
@fill (v)@|@fylla@
@filth@|@saurr@
@filthy@|@ókræsilegr@
@find (v)@|@finna, hitta, leita@
@Find out (v)@|@forvitnask, spyrja@
@fine@|@gildr, góðr, reisiligr@
@finger@|@fingr@
@finish (v)@|@lúka@
@fire@|@aldrnari, bál, bruni, eldr, hyrr@
@firewood@|@eldivðr@
@firm@|@fastr@
@first@|@áðr, fyrstr@
@firth@|@fjǫrðr@
@fish@|@fiskr@
@fitting@|@makligr, verðr@
@five@|@fimm@
@flag@|@flík@
@flail@|@hálmþúst@
@flame@|@hiti, villieldr@
@flat@|@flatr, hǫlkn@
@flay (v)@|@flá@
@flee (v)@|@flyja@
@fleeing@|@fljótr@
@fleet@|@floti@
@fleetness@|@skjótleikr@
@flesh@|@hold, slátr@
@flight@|@flaugun, flótti@
@flitting@|@sveimun@
@float (v)@|@fljóta@
@flood@|@flóð@
@floor@|@gólf@
@flour@|@mjǫl@
@fly (v)@|@fljúga, hrjóta@
@Fly off (v)@|@fjúka@
@flying@|@flaugun@
@foal@|@fyl@
@fodder@|@fóðr@
@fog@|@þoka@
@fold@|@grind@
@follow (v)@|@fylgja@
@follower@|@liði, sveitungr@
@following@|@fylgð@
@folly@|@hégómi@
@food@|@gjǫr, matr@
@foolish@|@heimskr, ósnjallr, villtr@
@foot@|@fótr@
@forbid (v)@|@banna@
@force@|@foss@
@foreign@|@útlendr@
@foremost@|@fyrstr@
@forest@|@mǫrk, skógr, viðr@
@forge (v)@|@slá@
@forget (v)@|@tyna@
@form@|@líki, mynd, vǫxtr@
@former@|@fyrri@
@formerly@|@forðum@
@formula@|@formáli@
@fortitude@|@þrek@
@fortunate@|@heppinn, sæll@
@fortune@|@happ@
@forward@|@fram, framan, framr@
@foster (v)@|@fóstra@
@foster_brother@|@fóstbróðir@
@foster_father@|@fóstri@
@foster_mother@|@fóstra@
@foster_son@|@fóstri@
@foul@|@fúll@
@fountain@|@kelda@
@four@|@fjórir@
@four_cornered@|@ferskeyttr@
@fourteen@|@fjórtán@
@fourth@|@fjórði@
@fox_hole@|@gren@
@franklin@|@bóndi@
@frantic@|@óðr, œrr@
@free@|@frjáls, lauss, sjálfráðr@
@free_will@|@sjálfvili@
@freeze (v)@|@frjósa, kala@
@fresh@|@hraðr@
@friend@|@vinr@
@friendliness@|@bliða@
@friendship@|@vinátta@
@frighten (v)@|@fæla, hræða, skelfa@
@frightened@|@hræddr@
@frost@|@frost@
@frost_giant@|@hrímþurs@
@fulfill (v)@|@efna@
@full@|@allsekr, fullr@
@funeral@|@erfi@
@fur@|@skinn@
@fur_ware@|@skinnavara@
@furious@|@óðr@
@further@|@fremr@
@fury@|@móðr@
@gable_wall@|@gaflveggr@
@gallant@|@vaskr@
@gallantly@|@prútt, rǫskliga@
@gallop (v)@|@hleypa@
@game@|@leikr@
@gape (v)@|@gapa@
@garment@|@klæði@
@gather (v)@|@lesa, safna, samna@
@gathering@|@samnaðr@
@gaze@|@sjón@
@gaze (v)@|@gægjask, horfa, sjá@
@genealogy@|@ættartala@
@generosity@|@stórmenska@
@generous@|@mildr@
@generously@|@hǫfðingliga@
@genial@|@leiðitamr@
@gentle@|@dæll, hœgr@
@gentleman@|@jarl@
@Get back (v)@|@heimta@
@Get up (v)@|@rísa@
@ghost@|@draugr, haugbúi@
@giant@|@jǫtunn, þurs@
@giantess@|@flagð@
@gift@|@gjǫf@
@girdle@|@fetill@
@give (v)@|@gefa, selja, veita@
@Give birth (v)@|@fœða@
@Give help to (v)@|@fylgja@
@Give in marriage (v)@|@gipta@
@giver@|@bjóðr@
@glacier@|@jǫkull@
@glad@|@feginn, glaðr@
@gladden (v)@|@glaða, hlœgja@
@gladly@|@glaðliga, vel@
@gladness@|@gleði@
@glance@|@tillit@
@glide (v)@|@skríða@
@glitter (v)@|@glita@
@glorious@|@mærr@
@glory@|@ágæti, dýrð, dýrk@
@glove@|@hanzki@
@glum@|@óglaðr@
@go (v)@|@fara, ganga, hvarfa, hvata, leita, liða, ráða@
@goad@|@geisl@
@goat@|@hafr@
@goat_skin@|@hafrstaka@
@god@|@áss@
@gods@|@tívar@
@gold@|@gull, marglóð@
@golden_horned@|@gullhyrndr@
@good@|@gipta, happ, heill@
@good_tempered@|@skapgóðr@
@goods@|@góz, varnaðr@
@goodwill@|@góðvili@
@gorge@|@gil@
@grace@|@hylli, miskunn@
@gracious@|@bliðr@
@grain@|@korn@
@grandmother@|@amma@
@grandson@|@dótturson, sonarson@
@grant (v)@|@unna, veita@
@grape@|@vínber@
@grape_vine@|@vínviðr@
@grasp@|@fang@
@grasp (v)@|@þrífa@
@graspingness@|@seiling@
@grass@|@gras@
@grassless@|@svarðlauss@
@grassy@|@grǫsugr@
@grave@|@dys@
@grave_mound@|@haugr@
@gravel@|@mǫl@
@great@|@herr, mikill, ríkr, stórr@
@greatest@|@mestr@
@greatly@|@ákaft, mikit@
@greed@|@ágirni@
@greedy@|@frekr@
@greet (v)@|@heilsa, kveðja@
