@English@|@Dutch@
@anguish@|@angst, beklemming, benauwdheid@
@angular@|@kantig@
@animal@|@dierlijk@
@animate@|@bezielen, verlevendigen@
@Ankara@|@Angora, Ankara@
@ankle@|@enkel@
@anniversary@|@gedenkdag, herdenkingsdag, verjaardag@
@annotation@|@aantekening, commentaar@
@announce@|@aandienen, aankondigen, adverteren@
@announcement@|@aankondiging, verkondiging@
@announcer@|@omroepster@
@annoy@|@ergeren, verontwaardigen@
@annoyance@|@leed, smart, verdriet@
@annual@|@jaarlijks@
@annul@|@afgelasten, annuleren, ontbinden@
@Annunciation@|@Annunciatie, Maria-Boodschap@
@anoint@|@besmeren, doorsmeren, sauzen, smeren@
@anonymous@|@anoniem, naamloos, ongenoemd@
@another@|@ander@
@answer@|@antwoorden, antwoorden op@
@ant@|@mier@
@Antarctic@|@Zuidelijke IJszee@
@antediluvian@|@antediluviaans, zeer oud@
@antelope@|@antilope@
@antenna@|@antenne, ra, spriet, voelhoorn@
@anthem@|@hymne, kerkgezang@
@anthology@|@antologie, bloemlezing@
@anthropologist@|@antropoloog@
@anticipate@|@anticiperen, prejudiciëren@
@anti-freeze@|@antivries@
@Antilles@|@Antillen@
@Antillian@|@Antilliaans@
@Antioch@|@Antiochië@
@antique@|@aloud, antiek, ouderwets@
@antiquity@|@oudheid@
@antiseptic@|@antiseptisch middel@
@Antwerp@|@Antwerpen@
@Anubis@|@Anoebis@
@anus@|@aars, anus@
@anvil@|@aambeeld, aanbeeld@
@anxious@|@bang, beducht, bezorgd, ongerust@
@anxiously@|@bezorgd, ongerust@
@any@|@een of ander, een of andere, enig@
@anybody@|@een of ander, een of andere, enig@
@anything@|@iets@
@anywhere@|@ergens, hier of daar@
@apache@|@apache, straatschuimer@
@apart@|@afgezonderd, afzonderlijk@
@apartment@|@appartement, flat@
@apathetic@|@apathisch, lusteloos, melig@
@apathy@|@apathie, dofheid, lusteloosheid@
@ape@|@aap@
@ape-like@|@aapachtig@
@Apennines@|@Apennijnen@
@aperture@|@gat, mond, opening@
@aphasia@|@afasie, sprakeloosheid@
@aphorism@|@aforisme, kernspreuk, spreuk@
@Aphrodite@|@Afrodite@
@apiary@|@bijenschans, bijenstal@
@apish@|@aapachtig@
@aplomb@|@aplomb, gewicht, zelfbewustheid@
@Apocalypse@|@Openbaring van Johannes@
@Apollo@|@Apollo@
@apologize@|@zich verontschuldigen@
@apology@|@verontschuldiging@
@apostle@|@apostel, voorvechter@
@apostrophe@|@afkappingsteken, apostrof@
@appall@|@onthutsen, ontstellen, ontzetten@
@apparatus@|@apparaat, hulpmiddelen, inrichting@
@apparent@|@aanwijsbaar, vertoonbaar@
@apparently@|@blijkbaar, duidelijk, klaarblijkelijk@
@appeal@|@appelleren, een beroep doen op@
@appear@|@opdagen, opdraven@
@appearance@|@verschijnen, verschijning@
@appellation@|@benaming, naam, naamwoord@
@appendicitis@|@blindedarmontsteking@
@appendix@|@aanhangsel, appendix, bijlage@
@appetite@|@eetlust, graagte, hongerigheid, trek@
@applaud@|@bij acclamatie benoemen, toejuichen@
@apple@|@appel@
@apple-tree@|@appelboom@
@applicant@|@aanvrager, verzoeker@
@application@|@aanwending, toepassing@
@apply@|@aanwenden, doorvoeren@
@appoint@|@aanstellen, benoemen@
@appointment@|@aanstelling, benoeming@
@appraise@|@begroten, schatten, taxeren, waarderen@
@appraiser@|@taxateur@
@appreciate@|@appreciëren, waarderen@
@apprehension@|@aanhouding, arrestatie@
@approach@|@aanvliegen@
@approachable@|@aanspreekbaar@
@appropriate@|@gepast, geschikt, passend@
@appropriately@|@gevoeglijk, op de juiste wijze@
@approval@|@acclamatie, bijval, toejuiching@
@approve@|@beamen, billijken, goedkeuren@
@approximate@|@benaderen@
@approximately@|@circa, een stuk of, ongeveer@
@apricot@|@abrikoos@
@April@|@april, grasmaand@
@apron@|@boezelaar, schort, sloof, voorschoot@
@aptitude@|@aanleg, begaafdheid, gave, talent@
@Apulia@|@Apulië@
@aquarium@|@aquarium@
@Aquarius@|@Waterman@
@aquatic@|@water-@
@Arab@|@Arabier@
@Arabia@|@Arabië@
@Arabian@|@Arabisch@
@Arabic@|@Arabisch@
@arbiter@|@arbiter, scheidsrechter@
@arbitrarily@|@naar willekeur@
@arbitrary@|@arbitrair, eigenmachtig, willekeurig@
@arbitrator@|@arbiter, scheidsrechter@
@arbor@|@prieel@
@arc@|@boog, toog@
@Arcadia@|@Arcadië@
@arch-@|@aarts-, hoofd-, opper-@
@Archaeozoic@|@Archeozoïcum@
@archaic@|@archaïsch, verouderd@
@archangel@|@aartsengel@
@archbishop@|@aartsbisschop, metropoliet@
@archbishopric@|@aartsbisdom@
@archduchy@|@aartshertogdom@
@arch-enemy@|@aartsvijand, doodsvijand@
@Archeozoic@|@Archeozoïcum@
@Archimedes@|@Archimedes@
@archipelago@|@archipel, eilandengroep@
@architect@|@architect, bouwmeester@
@archive@|@archief@
@archives@|@archief@
@Arctic@|@Arctica, Arctis, Noordpoolgebied@
@Ardennes@|@Ardennen@
@ardent@|@gloeiend, verterend, verzendend, vurig@
@are@|@are, vierkante decameter@
@area@|@areaal, gebied, oppervlakte@
