@slides@|@sitorarpok, situyok@
@small branches@|@tigauyait@
@smells good@|@tipiariktok@
@smiles; syn.: kungotorpok@|@konwakpok@
@smiles; syn.: kunwaktok@|@kungutorpok@
@sneezes@|@tagiortorpok@
@snores@|@kramguyok@
@snow-shoe@|@tadluark, tadluk@
@soft to touch@|@nerromiktok@
@soldier@|@unatartuksak@
@something to do@|@warutiksak (Padl.)@
@souvenir@|@erkrarsautit, irkraumalerutiksak@
@speaks@|@okrarpok@
@speaks in low voice@|@issibjukpok@
@speaks too much@|@okrarayukpok@
@spirit@|@anernerk, torngark@
@spots on dog's eyes@|@iyerutit@
@sprightly@|@erkreanaitok@
@stares@|@iyeriyok@
@starts early in the morning@|@ublarorpok@
@stays home@|@terlikpok (Padl.)@
@stays there@|@unikpok@
@steals@|@tiglikpok@
@steals food to eat@|@tiglikomerpok@
@steps@|@akpattok@
@steps backwards@|@kingupiusarpok@
@steps on@|@tutiyok@
@stops one's nose not to smell@|@sertuvok@
@strength@|@nuki@
@stretched out@|@situngayok@
@stumbles@|@narpok, padlakpok@
@suffering from walking too much@|@tudjarpok@
@sugar@|@aoksireartok, siorauyak, siorauyak@
@sulks@|@annunsingorpok, areoyok, erkreangoyok@
@sun ray reflection@|@akkisuktok@
@superior@|@angayokrak@
@surely@|@amilar@
@surprises@|@upingorpok@
@suspects@|@illimasukpok@
@suspects him@|@passariwa@
@takes a bite@|@tamuawok@
@takes a walk@|@pissuinnarpok@
@takes apart@|@sirkropterpok@
@takes away by force@|@arksarpok@
@takes entirely all@|@tamatkerpok@
@takes interest in@|@kamariyok, kamasukpok@
@takes part in game@|@pikattauyok@
@talks to@|@inneriyok@
@tatooings around chin@|@tablurutit@
@tattooings around the mouth@|@erkrirutit@
@teases@|@kanogsartok, kanungauyok@
@teases often@|@iyorayuktok@
@teases on purpose@|@tappaiyok@
@thankful@|@satornartok (Net.)@
@the biggest@|@angiyortak@
@the fifth@|@tadlimangat, tadlimat@
@the first one@|@sivudlerk@
@the fourth@|@sitamangat@
@the last@|@kingudlerk@
@the other@|@pikattar, pikatti@
@the richest@|@akluilak@
@the smallest@|@mikilak@
@the third@|@pingasuat@
@there is smoke@|@pujortok@
@they play "hide and seek"@|@immuyut v.@
@they race@|@akpalikitaurtut@
@thieves@|@arktayut (Okk.)@
@thin@|@sartok@
@thin (as paper)@|@saartok@
@thinks@|@issumayok@
@thinks ahead@|@silatusarpok@
@those above@|@pikka@
@three@|@pingasut@
@timid@|@illerasukpok@
@timid before strangers@|@adlauyartok@
@tips over (canoe@|@kinguyok@
@tormenting self.@|@pingigarpok@
@touches@|@tapsitarpok@
@toy@|@kritigutiksak@
@travels against the wind@|@adgorpok@
@trembles@|@sayukpok@
@tries everything@|@oksitartok@
@tries to console@|@saimarsarpok@
@tries to cry@|@sumikpok@
@tries to follow vg. game@|@malliksarpok@
@tries to please both@|@akkonasuktok@
@truly@|@amilar@
@turns head@|@alarpok@
@turns his back@|@tunnukpok@
@turns one's head@|@keviarpok@
@understands@|@tukisiwok@
@understands easily@|@iparsiwok (Okk.)@
@understands well@|@sokoersiwok@
@undoes@|@sirkropterpok@
@unique@|@assikangitok@
@untied@|@assinaitok@
@upside down@|@pussittok@
@useful@|@pilitak@
@useless@|@sororpok@
@v.@|@perkoyiyok@
@vision@|@takudjutinerk@
@visits@|@pullarpok, uglarpok@
@visits expecting to receive food@|@aimerpok@
@waits@|@utatkriyok@
@walks@|@akpattok, pissukpok@
@walks (without seeing ahead)@|@tapsikpok@
@walks ahead of dogs@|@kangelrarpok@
@walks quickly@|@akpasortok@
@walks to and fro@|@ingertarpok@
@walks with toes outwards@|@sarpituyok@
@walrus tusk@|@tugar@
@wants@|@piyomayok@
@wants to@|@pissuarpok@
@wants to receive gift@|@pitaromayok@
@watches@|@mianersiyok@
@what ? (searching for the proper name.@|@pina ?@
@whines@|@ipkolukpok (Padl)@
@whiskers@|@umerk, umit@
@whistles@|@uvingiarpok@
@white mushroom@|@tunnuksak@
@white part of deer skins@|@pokerk@
@wind that changes easily@|@patjarlukpok@
@winks v.@|@kablursorpok@
@with eyes wide open@|@uitayok@
@wolf@|@amarok@
@wolves wandering and hungry@|@kadzait@
@word of authority@|@okalruserk@
@works@|@pileriyok, senneyok@
@works at@|@senneksarpok@
@works at something@|@savatsiyok@
@works marvels@|@kamanartulliyok@
@wounds underfeet@|@sukkittok@
@yawns@|@aitaurpok@
@yells@|@erealarpok@
@yells (dog)@|@malarpok@
@yelps (dog)@|@krelukpok@
@young men@|@uikait (Okk.)@
@young seals (square flippers)@|@tiregluit@
@youngsters@|@tiretokrat@
@zip@|@siktartok@

