@English@|@Malay@
@audible@|@kedengaran, lantang@
@auditor@|@juruaudit@
@augment@|@imbuh@
@augmentation@|@imbuhan@
@August@|@Ogos@
@aunt@|@ibu saudara@
@auntie@|@makcik@
@authentic@|@sah@
@authenticity@|@kesahan@
@author@|@pencipta, pengarang, pujangga@
@authorisation@|@izin@
@authority@|@kuasa, kuatkuasa, pengaruh, wibawa@
@avenge@|@balas, bela@
@avenue@|@lebuh@
@average@|@purata, sederhana@
@averted@|@terhindar@
@aviary@|@lau burung@
@avocado@|@alpukat@
@avoid@|@elak, hindar@
@awakening@|@kebangkitan@
@award@|@anugerah, kurnia@
@awarding@|@pengurniaan@
@aware@|@sedar@
@aware of@|@perasan@
@awe@|@kehebatan@
@awful@|@dahsyat@
@awkward@|@canggung, janggal@
@awkwardness@|@kejanggalan@
@awning@|@kajang@
@awry@|@genjang, genjot@
@axe@|@kapak@
@axis@|@paksi@
@axle@|@gandar@
@babbling sound@|@desur@
@baby@|@bayi, jabang@
@bachelor@|@bujang, bujang, jejaka@
@bachelor's degree@|@sarjana muda@
@back@|@bantu, belakang, punggung@
@back-basket@|@ambung@
@backbiting@|@umpat, umpatan@
@background@|@latar belakang@
@backing@|@sokongan@
@backward or underdeveloped@|@mundur@
@bad@|@buruk, busuk, jahat, jelik@
@bad behaviour@|@ragam@
@bad debt@|@hutang lapuk@
@bad or nasty behaviour@|@angkara@
@bad social element@|@anasir jahat@
@badge@|@lencana@
@badly scratched@|@calar-balar@
@badness@|@keburukan, kebusukan, kejahatan@
@baffling@|@ajaib@
@bag@|@beg@
@baggage@|@bagasi@
@bail@|@ikat jamin@
@bait@|@umpan@
@bakery@|@kedai roti@
@balance@|@baki, baki, imbang, saki-baki@
@balance (noun)@|@imbangan@
@balanced@|@berimbang, seimbang, timbal, timpal@
@bald@|@bergondol, botak, dogol, gondol, sulah, togel@
@baldness@|@kedogolan@
@bale@|@bandela, bendela@
@ball@|@bola@
@ballad@|@balada@
@ballot@|@undi, undian@
@balu@|@birai@
@baluster@|@langkan@
@bamboo@|@aur, buluh@
@bamboo flute@|@bangsi@
@bamboo or wooden outrigger on the sides of a Mala@|@gandung@
@bamboo shoot@|@rebung@
@banana@|@pisang@
@band@|@bulang, ikatan, lorek@
@band or orchestra@|@pancaragam@
@bandage@|@balut, balutan, barut, bebat, pembalut@
@bandaged@|@berbalut@
@bangle@|@gelang@
@bank (of river)@|@tebing@
@bankrupt@|@muflis@
@banner@|@sepanduk@
@banning@|@pengharaman@
@banter@|@jenaka@
@banyan tree@|@beringin@
@bar@|@batang@
@barbed wire@|@kawat berduri@
@barber@|@tukang rambut@
@barefoot@|@kaki ayam@
@barn@|@bangsal@
@barracks@|@tangsi@
@barrel@|@tong@
@barrel (e.g. of gun)@|@laras@
@barren@|@kersang@
@barren or sterile (of female)@|@mandul@
@barricade@|@rintangan@
@barrier@|@bendung@
@barrister@|@peguambela@
@base@|@dasar, ganjal, landas, pangkal, pangkalan, tapak@
@base of coconut palm frond@|@manggar@
@base of skull@|@godok@
@base of tree trunk@|@perdu@
@based upon@|@berdasarkan@
@bash@|@hentam@
@bashful@|@segan, segan-silu, silu, sipu@
@basic@|@asasi, ruji@
@basic principle@|@rukun@
@basic training@|@latihan asas@
@basis@|@alas, asas@
@bask@|@diang, jemur@
@basket@|@bakul, keranjang, raga@
@basket ball@|@bola keranjang@
@bastard@|@jadah@
@baste@|@jelujur@
@bat (animal)@|@kelawar@
@batch@|@kelompok@
@bathe@|@mandi@
@bathroom@|@bilik mandi@
@baton@|@cota@
@batten@|@beroti@
@batter@|@hentam@
@battle-axe@|@cipan@
@battlefield@|@medan perang@
@battleship@|@kapal perang@
@bay@|@rantau, teluk@
@be alert@|@jaga@
@be awake@|@jaga@
@be born@|@jadi@
@be cautious@|@ingat-ingat@
@be hurt@|@terhiris@
@be involved@|@kecimpung@
@be offended@|@terhiris@
@be touched emotionally@|@terhiris@
@beach@|@pantai, pantai, pesisir@
@beached (of boat)@|@sadai@
@beacon@|@matarah@
@bead@|@manik@
@beak@|@muncung, paruh@
@beam@|@sorot@
@beam or ray@|@pancaran@
@bean@|@kacang@
@bean sprout@|@tauge@
@beans@|@kacang@
@bear@|@beruang@
@beard@|@jambang, janggut@
@bearded@|@berjanggut@
@bearer@|@pembawa@
@beat@|@bedal, hentam, rentak@
@beat (heart) or throb@|@denyut@
@beat up@|@bantai@
@beat with a cane@|@sesah@
@beaten@|@kecundang@
@beautician@|@jurusolek@
@beautician who does the make-up for the bride and@|@andam@
@beautiful@|@cantik, cantik, elok, indah, jelita, mongel, permai, rupawan@
@beautiful girl@|@jelitawan@
@beauty@|@kecantikan, keindahan, kejelitaan@
@beaver@|@memerang@
@because@|@kerana, kerana, sebab, sebab@
@because of@|@oleh@
@beckon@|@gamit@
@beckon with finger@|@cuit@
@become@|@jadi@
@become a fact@|@wujud@
@become speechless or silent@|@terdiam@
@become visible@|@wujud@
@bed@|@katil@
@bed-bug@|@pijat@
@Bedouin@|@Badui@
@bedroom@|@bilik tidur@
@bedsheet@|@cadar@
@bee@|@lebah@
@beetle@|@kumbang@
@before@|@dahulu, dahulu, sebelum@
@before (doing something)@|@sebelum@
@before dawn@|@dinihari@
@beg@|@kemis@
@beggar@|@pengemis@
@begin to grow rapidly@|@cambah@
@beginning@|@awal, mula, pangkal@
@behaviour@|@akhlak, gerak laku, lagak, perangai, tabiat, telatah, tindak tanduk, tingkah@
@behind@|@balik, belakang, belakang, di belakang@
@belasan@|@nineteen@
@belief@|@akidah@
@believe (trust)@|@percaya@
@bell@|@loceng@
@bellow@|@kuak@
@below@|@bawah, di bawah@
@belt@|@sawat, tali pinggang@
@bench@|@bangku@
@bend@|@kelok, keluk, lengkok, selekoh@
@beneficial@|@berfaedah@
@benefit@|@berkat, faedah, kebaikan, manfaat@
@bent@|@bengkok, berkelok@
@beside@|@di sebelah, sebelah, sebelah@
@besides@|@lagipun@
@besiege@|@kepung, kerumun@
@besieged@|@terkepung@
@besotted@|@asyik, asyik maksyuk@
@best man (at wedding)@|@pengapit@
@bestiality@|@kebinatangan@
@bestow@|@kurnia@
@bestowal@|@penganugerahan, pengurniaan@
@bet@|@taruh@
@betel leaf@|@sirih@
@betel leaf container@|@jorong@
@betray@|@belot@
@betrayal@|@khianat, pembelotan, penderhakaan, pengkhianatan@
@better@|@sebaiknya@
@between@|@antara, antara@
@bewildered@|@bingung, keliru, mangu, terkeliru@
@bewilderment@|@kebingungan, kekeliruan@
@bezoar@|@geliga, kemala, mestika@
@bezoar stone@|@gemala@
@Bible@|@Injil@
@bicker@|@balah@
@biennial@|@dwitahunan@
@big@|@besar@
@big and loose@|@gedoboh@
@big drum@|@genderang@
@big drum used in the mosque@|@beduk@
@big flame@|@gejolak, gelojak@
@big-headed@|@besar kepala@
@bight@|@gelung@
@bile@|@hempedu@
@bilingual@|@dwibahasa@
@bill@|@bil, paruh@
@bill (in Parliament)@|@rang undang-undang@
@billboard@|@papan iklan@
@billow@|@alun@
@billowy@|@beralun-alun@
@billowy (of dense foliage)@|@jabun@
@billowy (of dust@|@jabu@
@bimonthly@|@dwibulanan@
@bin@|@tong@
@bind@|@ikat@
@binding@|@jilid@
@binding (of printed material)@|@penjilidan@
@binocular@|@dwimata@
@biography@|@riwayat hidup@
@biology@|@kaji hayat@
@bipartite@|@dwipihak@
@bird@|@burung@
@bird of paradise@|@cenderawasih@
@birds@|@unggas@
@birthday@|@hari jadi@
@bishop@|@biskop@
@bit@|@cebis@
@bit by bit@|@berdikit-dikit@
@bite@|@gigit, patuk@
@bitten accidentally@|@tergigit@
@bitter@|@getir, pahit@
@bitter gourd@|@peria@
@bitterish in taste@|@kelat@
@bizarre@|@aneh@
@black@|@hitam@
@black fibre of enau palm@|@ijuk@
@black long-tailed monkey@|@lotong@
@black market@|@pasar gelap@
@blackboard@|@papan hitam@
@blackhead@|@jagat@
@blade (e.g. of grass)@|@laidaun@
@blade (of knife or sword)@|@bilah@
@blame@|@cela@
@blanket@|@gebar, selimut@
@blazing (of hell)@|@jahim@
@blazon@|@jata@
@bleat@|@ceceh@
@bleeding@|@berdarah@
@blemish@|@aib, jagat@
@blend@|@lakur@
@blended@|@tercampur@
@blessed@|@bahagia, kudus, rahmati@
@blessing@|@berkat, rahmat, restu@
@blind@|@buta@
@blind or screen@|@birai@
@blinds@|@bidai@
@blink@|@kedip, kelip, kenyit@
@blinking (of eyes)@|@terkebil-kebil@
@bliss@|@kebahagiaan, nikmat@
@blissful@|@bahagia, berbahagia@
@blister@|@lepuh@
@blistered@|@lecur@
@blistering@|@panas terik@
@bloated@|@bengkak, buncit, buntal, busung@
@block@|@adang, halang, jemala, pukal@
@block or solid piece@|@bongkah@
@blockade@|@kepungan, pengepungan@
@blocked or closed@|@buntu@
@blood@|@darah@
@blood pressure@|@tekanan darah@
@blood relation@|@darah daging@
@blood stain@|@bekas darah@
@blood vessel@|@salur darah@
@bloodshed@|@sembelihan@
@bloodshot eye@|@bilis@
@bloody@|@berdarah, jeluas@
@blossom@|@kembang@
@blotch@|@tompok@
@blow@|@hembus, tiup@
@blow-pipe@|@sumpitan@
@bludgeon@|@belantan@
@blue@|@biru@
@blue black@|@biru lebam@
@blue dye@|@nila@
@blue water-lily@|@teratai kecil@
@bluebottle fly@|@langau@
@blueness@|@kebiruan@
@bluff@|@auta, bohong@
@bluish@|@kebiru-biruan@
@blunder@|@khilaf@
@blunt@|@cakah, tumpul@
@blunt (of knife)@|@majal@
@blur@|@kabur@
@blush@|@bera@
@board@|@lembaga, sidang@
@boastful@|@besar mulut, bongkak@
@boat@|@bot, perahu@
@boatswain@|@serang@
@bob@|@ambang@
@bobbin@|@kumparan@
@bodice@|@kutang@
@bodily shape or figure@|@susuk badan@
@body@|@badan, badan, jasad, jisim, tubuh@
@body hair@|@bulu@
@boil@|@bisul, didih, gelegak, jerang@
@boiled@|@rebus@
@boisterous@|@kencang@
@bolster@|@bantal golek, bantal peluk@
@bone@|@tulang@
@bone marrow@|@sumsum@
@bonnet@|@cepiau@
@booby trap@|@jerangkap@
@booby-trap@|@ranjau@
@book@|@buku, buku, kitab, pustaka@
@booking@|@tempahan@
@boon@|@berkat@
@boost@|@julang@
@booth@|@pondok@
@border@|@jidar, susur@
@border area@|@perbatasan@
@bore vertically@|@hunjam@
@bored@|@bosan, jelak, jemu@
@boredom@|@kebosanan@
@born@|@lahir@
@boss@|@ketua@
@botanical garden@|@taman bunga@
@botany@|@kaji tumbuhan@
@both@|@berdua, kedua-dua@
@bottom or buttocks@|@buntut@
@bounce@|@ambul, bingkas@
@boundaries@|@batas@
@boundary@|@perenggan, sempadan@
@bouquet@|@jambak@
@bow (for shooting arrows)@|@busur, panah@
@bow of boat@|@haluan@
@bowl@|@mangkuk@
@box@|@kotak, peti@
@boxing@|@tinju@
@boy@|@budak lelaki@
@bracelet@|@gelang, rantai tangan@
@bracket (in@|@kurungan@
@brackish@|@payau@
@bragging@|@gembar-gembur@
@braid@|@jalin@
@braid (of hair)@|@tocang@
@brain@|@otak, otak@
@brainy@|@berotak@
@bran@|@dedak@
@branch@|@cabang@
@branch (e.g. of office)@|@cawangan@
@branch (of plant)@|@dahan@
@brand@|@buatan, jenama@
@branded@|@berjenama@
@branding iron@|@selar@
@brass@|@loyang, tembaga kuning@
@brassiere@|@coli, kutang@
@brave@|@berani, gagah, perkasa, perkosa@
@bravery@|@keberanian, kegagahan@
@bray like a donkey@|@nguak@
@brazier@|@tungku@
@bread@|@roti@
@breadth@|@lebarnya@
@breakfast@|@makan pagi, sarapan@
@breast@|@tetek@
@breath@|@nafas@
@breathless@|@mengah@
@breed@|@didik@
@breeding@|@pembiakan, ternakan@
@breeze@|@bayu@
@breezy@|@berangin@
@bribe@|@rasuah@
@brick@|@bata@
@bridal dais@|@lamin, pelamin@
@bride@|@mempelai, pengantin@
@bridegroom@|@mempelai, pengantin, raja sehari@
@bridesmaid@|@pengapit@
@bridge@|@jambat, jambatan@
@bridge (platform on a ship)@|@anjungan@
@bridle@|@kekang@
@brief@|@ringkas, singkat@
@briefing@|@taklimat@
@briefly@|@ringkasnya@
@bright@|@cerah, cerdik, gilang-gemilang, terang@
@brightness@|@kilat, seri@
@brilliant@|@gemilang@
@brimful@|@tepu@
@bring@|@bawa, bawa@
@bring oneself into a person's favour@|@ampu@
@bring to one's mind@|@bangkit@
@bring up (a child)@|@asuh@
@bring up (children)@|@didik@
@bring up for discussion@|@aju@
@brinjal@|@terung@
@brittle@|@getas, rangup, rapuh@
@broad@|@lebar, luas@
@broadcast@|@hebah, pancaran@
@broadcaster@|@juruhebah, penghebah@
@broken (of long objects)@|@patah@
@broken rice grains@|@melukut@
@broken up@|@bercerai-berai@
@broken-hearted@|@patah hati, remuk hati@
@bronze@|@gangsa, tembaga perunggu@
@brooch@|@kerongsang@
@brood@|@eram@
@broom@|@penyapu@
@broth@|@kaldu@
@brother (elder)@|@abang@
@brother (younger)@|@adik lelaki@
@brother or sister@|@saudara@
@brother- or sister-in-law@|@ipar@
@brother+sister+yourself (sibling)@|@adik-beradik@
@brother-in-law@|@abang ipar@
@brothers@|@ikhwan@
@brothers and sisters@|@adik-beradik@
@brown@|@coklat, perang, perang@
@bruise@|@lebam, memar@
@brush@|@berus, gosok@
@brutal@|@zalim@
@bubble@|@gelembung@
@bubbles@|@gelembung-gelembungan@
@bucket@|@baldi, timba@
@buckle@|@kancing@
@bud@|@kudup@
@Buddhist monk@|@sami@
@budget@|@anggaran, belanjawan@
@buffalo@|@kerbau@
@build@|@bina@
@builder@|@pembina@
@building@|@bangunan@
@bulb@|@mentul@
@bulb (of plant)@|@bebawang@
@bulldozer@|@jentolak@
@bullet@|@peluru@
@bullet-proof@|@kalis peluru@
@bullion@|@jongkong@
@bulwark@|@baluarti, lambung@
@bump or knock into@|@hantuk@
@bump or swelling@|@benjol@
@bumping or knocking sound@|@hantukan@
@bumpy@|@lekuk-lekak@
@bunch@|@ikat, tandan@
@bunch of flowers@|@jambak@
@bundle@|@berkas, gepok, ikat@
@bundle or bunch@|@gugus@
@bunk@|@pangkin@
@bunting@|@panji-panji@
@buoy@|@pelampung@
@burden@|@beban, bebanan@
@burdensome person or thing@|@igauan@
@burgeon@|@cambah@
@burial@|@pengebumian@
@burly@|@jagur@
@burn@|@bakar@
@burnt@|@hangus, terbakar@
@bursar@|@bendahari@
@bus stop@|@perhentian bas@
@bush@|@belukar, semak@
@business (trade)@|@perniagaan@
@businessman@|@ahli perniagaan@
@busy@|@sibuk@
@but@|@akan tetapi, malah, malahan, tetapi, tetapi@
@butcher@|@pembantai@
@butt@|@hulu@
@butt (e.g. of cigarette)@|@puntung@
@butter@|@mentega@
@butterfly@|@kupu-kupu, rama-rama@
@buttocks@|@pinggul, punggung@
@button@|@butang, punat@
@buy@|@beli@
@buy sweets@|@jajan@
@buzzing or ringing in the ears@|@bengang@
@buzzing sound@|@dengung@
@buzzing sound (in the mind)@|@ngiang@
@by@|@oleh, oleh@
@by (for oath@|@demi@
@by chance@|@kebetulan@
@by coincidence@|@kebetulan@
@by the side@|@di tepi@
@by the way@|@sambil lalu@
@by way of@|@secara@
@bygone@|@sudah-sudah@
@cabbage@|@kubis@
@cable@|@kawat@
@cackle (of hens)@|@ketak@
@cage@|@kandang, kurungan, sangkar@
@cake@|@kuih@
@cakes@|@kuih@
@calamity@|@bala, malapetaka@
@calculate@|@bilang, hisab, kira@
@calculated@|@berkira@
@calculation@|@kiraan, pengiraan@
@calendar@|@takwim@
@calf (leg)@|@betis@
@calf (of leg)@|@betis@
@calico@|@belacu@
@caliph@|@khalifah@
@call@|@panggil@
@call up (into the armed forces)@|@kerah@
@callipers@|@angkup@
@calm@|@hening, sabar, tenang, tenteram@
@calumny@|@umpatan@
@calyx@|@kelopak, kelopak bunga, salut bunga, tampuk@
@camel@|@unta@
@cameraman@|@jurukamera@
@camp@|@khemah@
@camping@|@perkhemahan@
@can@|@boleh, boleh@
@can (be ab@|@dapat@
@can afford@|@mampu@
@canal@|@terusan@
@cancel@|@batal, hurung@
@cancellation@|@pembatalan@
@cancelled@|@batal@
@cancer@|@barah@
@cancerous@|@membarah@
@candid@|@ikhlas@
@candidate@|@calon, jagoan@
@candle@|@dian, lilin@
@cane@|@rotan@
@caning@|@sebatan@
@canister@|@bejana@
@cannabis@|@ganja@
@cannon@|@meriam@
@canoe@|@kolek@
@canopy@|@langit-langit@
@can't@|@takkan@
@cantankerous@|@bengkeng@
@canteen@|@kantin@
@capable@|@berkebolehan, mampu, sanggup@
@capable of@|@terdaya@
@capacity@|@daya, sukat@
@cape (land jutting out into the sea)@|@tanjung@
@capital@|@modal, pokok@
@capital city@|@ibu kota@
@capital letter@|@huruf besar@
@caprice@|@kerenah@
@captain@|@nakhoda@
@car@|@kereta, kereta@
@carat@|@karat@
@caravan@|@kafilah, pedati@
@carcass@|@bangkai, kerangka@
@care@|@jagaan, penjagaan, teliti@
@career@|@kerjaya@
@careful@|@cermat, hati-hati@
@careful and economical@|@hemat@
@carefully@|@baik-baik@
@careless@|@cuai, lalai@
@carelessness@|@kecuaian@
@caress@|@belai, belaian, cumbu, cumbuan, usap@
@caretaker@|@penjaga@
@cargo@|@bagasi, muatan@
@carnivorous@|@maging@
@carp@|@kaloi@
@carpenter@|@tukang kayu@
@carpet@|@hamparan, permaidani@
@carriage@|@kereta, pedati@
@carried away@|@leka@
@carried away by a current@|@hanyut@
@carrier@|@pembawa@
@carrot@|@lobak merah@
@carry@|@bawa@
@carry astride the back or waist@|@dukung@
@carry dangling in the hand@|@bimbit@
@carry in the mouth@|@gonggong@
@carry light objects in the hand@|@jinjing@
@carry off@|@gondol@
@carry on the back@|@galas@
@carry on the head@|@junjung@
@carry something in the folds of a sarong@|@kendong@
@cart@|@pedati@
@carve@|@ukir@
@cascade@|@lata@
@case@|@peti@
@cash@|@tunai, tunai@
@cashew nut@|@gajus@
@cashier@|@juruwang@
@casket@|@keranda, peti@
@cast ashore@|@dampar@
@castanets@|@ceracap@
@castle@|@puri@
@castrate@|@kasi, kembiri@
@casualty@|@mangsa@
@cat@|@kucing@
@catalyst@|@mangkin@
@catapult@|@lastik@
@cataract@|@selaput mata@
@catch sight of@|@nampak@
@catch something by using hand or mouth@|@cakup@
@catchment@|@tadahan@
@categorical@|@mutlak@
@cater@|@bekal@
@caterpillar@|@ulat@
@catty@|@iri@
@caught in the dark@|@kegelapan@
@caught in the rain@|@kehujanan@
@cauldron@|@kawah@
@cauliflower@|@bunga kobis@
@cause@|@sebab@
@cause to fall@|@jerumus@
@causing teeth to chatter@|@gerat@
@causing to feel stunned or bewildered@|@kecamuk@
@caustic@|@pedas@
@caution@|@awas@
@cautious@|@berhati-hati, cermat, waspada@
@cave@|@gua@
@cavern@|@gegua@
@cavity@|@rongga@
@caw (e.g. of a rook)@|@gak@
@cease@|@gencat@
@ceasefire@|@gencatan senjata@
@ceiling@|@siling@
@celebate@|@bujang@
@celebration@|@sambutan@
@celery@|@saderi@
@cemetary@|@pusara@
@censer@|@perasap@
@census@|@banci, bancian@
@cent@|@sen@
@centipede@|@lipan@
@central or important part@|@intisari@
@centre@|@pusat, pusat, tengah@
@centrifugal@|@empar@
@centrifuge@|@emparan@
@century@|@abad, kurun@
@cereal@|@bijirin@
@cereals@|@biji-bijian@
@ceremonial@|@istiadat@
@ceremonial mace@|@cokmar@
@ceremonious@|@beradat@
@ceremony@|@istiadat, upacara@
@certain@|@keruan, pasti, sahih, tentu@
@certainly@|@nescaya@
@certificate@|@sijil@
@chaff@|@sekam@
@chain@|@rantai, utas@
@chair@|@kerusi@
@chairman@|@pengerusi@
@chalk@|@kapur, kapur@
@challenge@|@cabar@
@challenger@|@pencabar@
@chamber holding cartridges (in a gun) or slides (@|@lelopak@
@chameleon@|@sumpah-sumpah@
@champion@|@jagoan, jaguh, johan, juara@
@championship@|@kejohanan, kejuaraan@
@chance@|@nasib, peluang@
@change@|@alih, tukar, ubah@
@change of hands@|@pindah tangan@
@chaos@|@haru-biru, honar, huru-hara, kelam-kabut@
@chaotic@|@gamat, kacau-bilau, kelam-kabut, kelam-kabut, porak-peranda@
@chapter@|@bab, penggal, tajuk@
@character@|@akhlak, budi pekerti, pekerti, perangai, tindak tanduk, watak@
@characterised@|@bercirikan@
@characteristic@|@ciri, sifat@
@charcoal@|@arang@
@charge@|@jagaan@
@charm used (by burglars) to make people fall asle@|@pukau@
@charms@|@guna-guna@
@chart@|@carta, rajah@
@charter@|@piagam@
@chase@|@kejar@
@chase away@|@usir@
@chase or drive away@|@halau@
@chassis@|@kerangka@
@chaste@|@suci@
@chasuble@|@jubah@
@chat@|@celoteh@
@chatter@|@bualan, leteran, oceh, omong, sembang@
@chatter (of teeth)@|@gelugut@
@chatterbox@|@mulut murai@
@cheap@|@murah@
@cheap sale (clearance sale)@|@jualan murah@
@cheat@|@tipu@
@check@|@kawal@
@cheek@|@pipi@
@cheek bones@|@pasu-pasu@
@cheeky@|@lancang@
@cheerful@|@gembira, girang, ria, riang, sukacita@
@cheering@|@sorak-sorai, tempik-sorak@
@cheers@|@sorakan@
@cheese@|@keju@
@chef@|@jurumasak@
@chemistry@|@kimia@
@cheque@|@cek@
@cherish@|@belai@
@cheroot@|@cerut, curut@
@chess@|@catur@
@chess-board@|@papan catur@
@chest@|@dada@
@chestnut@|@berangan@
@chew@|@kunyah@
@chew up@|@ganyang@
@chic@|@segak@
@chicken@|@ayam, ayam@
@chide@|@hamun@
@chief@|@ketua, ketua, utama@
@chief minister of a Malay State@|@bendahara@
@chief person@|@kepala@
@child@|@anak, budak, kanak-kanak@
@child(ren)@|@anak@
@childish@|@kebudak-budakan@
@childless widow@|@janda berhias@
@children@|@kanak-kanak@
@chilli@|@cabai@
@chillies@|@lada@
@chimney@|@cerobong, corong@
@chin@|@dagu@
@China@|@Tiongkok@
@Chinese@|@Cina, orang Cina, Tionghua@
@Chinese business proprietor@|@tauke@
@Chinese new year@|@tahun baru cina@
@chipped@|@rempak, sompek@
@chirp@|@kericau, kicau@
@chisel@|@pahat@
@chive (vegetable)@|@kucai@
@chocolate@|@coklat@
@choice@|@pilihan@
@choke@|@cekik@
@choked@|@sebak@
@choked (of nose)@|@sebu@
@choking@|@tercekik@
@cholera@|@taun@
@chop or mince@|@cencang@
@chopping block@|@andas@
@chopping-knife@|@parang@
@chopsticks@|@sepit@
@chortle@|@kekek@
@Christian@|@Nasrani@
@chronicle@|@babad@
@chrysalis@|@kepompong@
@chubby@|@gempal, montok@
@chuckle@|@gelekek@
@chump@|@jemala@
@chunk@|@bingkah, tongkol@
@church@|@gereja@
@churn@|@karau@
@cigar@|@cerutu, curut@
@cigarette@|@rokok@
@cinema@|@panggung wayang, pawagam, wayang gambar@
@cinnamon@|@kayu manis@
@circle@|@bulatan@
@circle or group with similar interests@|@kalangan@
@circuit@|@litar@
@circular@|@bulat@
@circulate@|@edar@
@circulation@|@edaran, peredaran@
@circumcision@|@khatan, sunat@
@circumference@|@lilitan@
@circumlocutary@|@belit@
@circumstances@|@keadaan, suasana@
@citation@|@kutipan@
@cite@|@kutip@
@citizen@|@rakyat@
@citizen of a country@|@warganegara@
@citizens@|@rakyat@
@city@|@bandar raya, bandaraya, kota, kota, puri@
@civet-cat@|@musang@
@civil@|@awam@
@civilization@|@peradaban, tamadun@
@civilized@|@tamadun@
@clack (short sharp sound)@|@ketik@
@claim@|@gugat@
@clairvoyance@|@firasat@
@clammy@|@lengas@
@clamorous@|@gegak-gempita@
@clamour@|@hiruk-pikuk@
@clamp@|@ragum@
@clan@|@suku-sakat@
@clanging noise@|@kelenting@
@clanking sound@|@kelentang@
@clarification@|@penjelasan, tegasan@
