@human remains@|@'anga'anga@
@humid@|@'afu@
@hundred and fifty@|@teau nima noa@
@hundred and ten@|@teau hongofulu@
@Hungary@|@Hungali@
@hunger@|@fiekaia@
@hungry@|@fiekaia@
@husband@|@mali@
@Hymn@|@Himi@
@I@|@au, ou@
@I come from ...@|@Ko 'eku ha'u mei ...@
@I love you@|@'Oku ou 'ofa 'ia koe@
@ice@|@'aisi@
@ice cream@|@'aisikilimi@
@Iceland@|@'Aisilani@
@if@|@kapau@
@Ignatius@|@'Ikenasio@
@illness@|@mahaki, puke@
@image@|@'imisi@
@immediately@|@leva@
@impossible to grow@|@pana@
@improve@|@pana@
@in@|@'i loto@
@in a hurry@|@'emi@
@India@|@'Initia@
@indian ocean@|@'oseni 'initia@
@Indonesia@|@'Initonisia@
@infected@|@pihia@
@inflamed@|@kula@
@information@|@fakamatala@
@injury@|@lavea@
@inside@|@'i loto@
@instructions@|@tu'utu'uni@
@intestines@|@ngakau@
@introducton@|@huluhulu@
@Io!@|@'oiaue@
@Iran@|@'Aileni, Iran@
@Iraq@|@'Iulaki@
@Ireland@|@'Ailani@
@Irenaeus@|@Ileneo@
@Is it true?@|@Mo'oni ?@
@Isabel@|@'Isapela@
@island@|@motu@
@Israel@|@'Isilele, 'Isileli@
@it@|@ia@
@it is you- the pillar@|@ko koe ko e falala'anga@
@Italy@|@'Itali@
@jam@|@siamu@
@Jamaica@|@Samaika@
@James@|@Semisi@
@Jane@|@Seini@
@january@|@Sanuali@
@Japan@|@Siapani@
@jaundice@|@mofi engeenga@
@javelin@|@sika@
@jaw@|@kaungao@
@Jerome@|@Salome@
@Jesus@|@Sisu@
@Jew@|@Siu@
@Jewish@|@Siu@
@Joachim@|@Soakimi@
@job@|@ngaue@
@John@|@Sione, Soane@
@joint@|@hokotanga hui@
@joke@|@hua@
@Jordan@|@Sioatani@
@Joseph@|@Sosefa, Sosefo@
@Jude@|@Siuta@
@jug@|@sioki@
@juice@|@huhu'a@
@July@|@Siulai@
@jumping@|@hopohopo@
@June@|@Sune@
@Jupiter@|@Siupita@
@jury@|@sula@
@Justin@|@Susitino@
@keep close@|@lafi@
@keep moving@|@ueue'i@
@keep out@|@tapu@
@keep pushing@|@teketeke@
@Kenya@|@Kenia@
@keys@|@ki@
@kick@|@'aka@
@kidney@|@kofuua@
@king@|@tu'i@
@Kiribati@|@Kilipati@
@kitchen@|@peito@
@kite@|@lofa@
@knife@|@hele@
@knot@|@mo'o@
@know@|@'ilo@
@knowledgeable@|@'ilo@
@Korea@|@Kolea@
@lake@|@'hano vai, ano@
@lamb@|@lami@
@lament@|@laulau@
@language@|@lea@
@large@|@lahi@
@lash@|@haha@
@later@|@'a nai ange@
@law@|@lao@
@Lawrence@|@Lolesio@
@leaf@|@lau, lau, lou@
@leaks@|@tutulu@
@leaks (roof)@|@tutulu@
@leather@|@leta@
@leather belt@|@leta@
@leaven@|@levani@
@Lebanon@|@Lepanoni@
@left@|@hema@
@leg@|@va'e, va'e@
@lei@|@papai@
@lei made of crepe paper@|@salusalu@
@lei of flowers@|@kakala@
@leisure@|@'eve'eva@
@lemon@|@lemani@
@lenght@|@loloa@
@length@|@loloa@
@Let's go@|@Ta o (two people), Tau o (if more than two)@
@lettuce@|@letisi@
@Liberia@|@Laipelia@
@lice@|@kutu@
@lid@|@'umosi@
@lie@|@loi@
@light@|@maama@
@lightning@|@'uhila@
@like@|@sai'ia@
@likely@|@ngalingali@
@lime@|@lahe@
@lips@|@loungutu@
@liquid@|@huhu'a, vai@
@liquor@|@kava malohi@
@littered with bits@|@mosimosi@
@liver@|@'ate@
@lizard@|@moko@
@load@|@uta@
@lobster@|@'uo@
@lolly@|@lole@
@London@|@Lonitoni@
@long@|@loloa@
@Look down on our prayer@|@'Afio hifo 'emau lotu@
@lord@|@'eiki@
@Los Angeles@|@L.A.@
@Louise@|@Lu'isa@
@louse@|@kutu, tuma@
@louvres@|@luva@
@love@|@'ofa@
@loved@|@'ofeina@
@lover@|@'ofa'anga@
@luck@|@monu@
@Lucy@|@Lusi, Lusia@
@Luke@|@Luke@
@lunch@|@kai ho'ata@
@lungs@|@ma'ama'a@
@Lybia@|@Lipia@
@macaroni@|@makaloni@
@machine@|@misini@
@machinery@|@misini@
@mackerel@|@fa'ahinga ika@
@Magdalen@|@Maketalena, Makiteline@
@maggot@|@'uanga@
@main sqare@|@lahi fefe@
@maize@|@koane@
@make peace@|@fakalelei@
@Malaysia@|@Maleisia@
@male@|@tangata@
@malt@|@molo@
@Malta@|@Molota@
@man@|@siana, tangata@
@mandarin@|@molipeli@
@mango@|@mango@
@many@|@fele, hulu@
@many holes@|@avaava@
@march@|@laka, Ma'asi@
@Margaret@|@Makaleta, Makalita@
@mark@|@'ila@
@Mark@|@Ma'ake@
@market@|@maketi@
@mars@|@Ma'asi@
@Martha@|@Ma'ata@
@Martin@|@Maletino@
@Mary@|@Malia, Mele@
@match@|@ngali@
@materials@|@naunau@
@Mattew@|@Matiu@
@Matthias@|@Matiasi@
@Maximilian@|@Masimilano@
@May@|@Me@
@May)@|@fakame@
@me@|@au@
@measles@|@misele@
@meat@|@kakanoi manu, kano@
@medically related terms@|@Lea fakafaito'o@
@medicine@|@faito'o@
@meeting@|@fakataha@
@Melbourne@|@Melepoane@
@melon@|@meleni@
@mend@|@monomono@
@meningitis@|@mofi'uto@
@mental@|@fakasesele@
@Mercury@|@Meakuli@
@metal@|@ukamea@
@Methodius@|@Metotiusi@
@Mexico@|@Mekisikou@
@Michael@|@Maikele, Maikeli@
@migraine@|@langa'ulu lahi@
@milk@|@hu'akau@
@mind@|@'atamai@
@mineral (soda) water@|@hina vai (sota)@
@minister@|@faifekau@
@mint@|@miniti@
@minute@|@miniti@
@missing someone@|@'unaloto@
@mission@|@misiona@
@mites@|@ane@
@mockery@|@luma@
@molar@|@ngao@
@mole@|@'ila@
@Monday@|@Monite@
@money@|@pa'anga@
@Monica@|@Monika@
@months@|@Ngaahi Mahina@
@moody@|@'ite'ita@
@moon@|@mahina@
@moonlight@|@mahina@
@moray eel@|@toke@
@Morning@|@Pongipongi@
@Morocco@|@Moloko@
@Moscow@|@Mosikou@
@mosque@|@fale lotu mahomei'i@
@mosquito@|@namu@
@most adored@|@'ofa'anga@
@most ardored@|@pele@
@mostly paternal aunt@|@fahu@
@Motel@|@Motele@
@mother@|@fa'e@
@mount@|@sia@
@mouse@|@kuma@
@mouth@|@ngutu@
@moved@|@uesia@
@mud@|@pelepela@
@mud puddle@|@pelepela@
@muddy@|@pelepela@
@mural@|@mula@
@muscle@|@kakano, uoua@
@musical note(s)@|@nota@
@mussel@|@masolo (kuku)@
@mussels@|@kaloa'a@
@mustard@|@musita@
@mute's speech@|@ngongone@
@mutton@|@sipi@
@my@|@hoku@
@My name is ...@|@Ko hoku hingoa ko...@
@myself@|@au@
@naked@|@telefua@
@name@|@hingoa, huafa@
@name (for the monarch only)@|@huafa@
@name of a tree@|@ate@
@napkin@|@napikeni, savieti@
@narrow@|@lausi'i@
@Nat (Christmas)@|@Kilisimasi@
