@two@|@Gör, zuru@
@udder@|@dëlang, diling@
@uncultivated land@|@atër@
@unfasten@|@tëli-@
@up@|@digine-@
@urine@|@šezë@
@vacant@|@sëlä, sulä@
@variegated@|@alaG@
@vegetables@|@noGön, nuGön@
@vehicle@|@terge, tërge@
@Venus@|@cholbang@
@vulva@|@sdogu@
@walnut@|@zaG, zanggiraG@
@warm@|@kurgu-@
@wart@|@xürzë@
@water@|@fuzu, szu, šzu@
@we@|@buda@
@weak@|@zölon, žölon@
@weep@|@(u)lä-@
@well@|@zäri@
@West@|@barong, warang, warong@
@what@|@jän@
@white@|@ciGän@
@who@|@ken@
@width@|@ang@
@wife@|@mugen@
@wife of the elder brother@|@bergen@
@willow@|@burGäsë, burGäsë, sdoxo, szözë@
@wind@|@salkï, sarki@
@winding@|@sarï@
@wing@|@cär, sär, zär@
@winter@|@gur, rgul, ugur@
@wish@|@baGa-, paGa-@
@withers@|@därë, däri@
@without@|@gwï, ugwï@
@wolf@|@chuna, chunö@
@woman@|@imu@
@wood@|@fë, xoj@
@wool@|@nGuasë@
@word@|@uge, ugo@
@work@|@uile, ule@
@wound@|@sgirë-@
@woven basket@|@aruG@
@year@|@fën, fon, xon, xön, xwën fen@
@year of life@|@nasë@
@yellow@|@sirä, šira@
@yesterday@|@cigu, ure, urï@
@you (pl.)@|@ta@
@young dog or cat@|@gorgo, gulgo@
@young of plants@|@ziziGa@
@younger sibling@|@du, dü@

