@family together with servants@|@Seimîns@
@farm@|@burwalkan, BÛRWALKAN@
@farm-hand@|@WÂIKS, waix@
@fast@|@Pastauton, PASTAÛTUN@
@fasting@|@Pastenick, PASTENÎKS@
@father@|@Taws@
@father-in-law@|@Tisties, TISTÎS@
@fatling hog@|@NÔMÂITS, Nomaytis@
@favour@|@PADÎNGAN, podîngan@
@fear@|@biâsnan, BIJÂSNAN@
@feather@|@PLÂUGZDÂ, Plauxdine@
@feather-bed@|@PLÂUGZDINÊ, Plauxdine@
@feed@|@MÂITÂTUN, maitâtunsin, PAMÂITÂT, pomaitat@
@feeding@|@maitâsnan, MÂITÂSNAN@
@fell asleep@|@ismigê, IZMIGÊI@
@felt@|@TÛBÂ, Tubo@
@female@|@GENENISKAN@
@fence-pole@|@KWÊKÊ, Queke@
@ferment@|@RAÛGAS, Raugus, RAÛGUS@
@fern@|@Paparthen, PAPARTÎS@
@fetter@|@PANTÂ, Panto@
@fever@|@ÊNÂISS@
@fewer@|@massais, MAZÂIS@
@field@|@laucks, LAÛKS@
@fifth@|@PÊNKTS, Piêncts@
@fight@|@ûlint, WÂLINT@
@fill@|@ÊRPILNINAÎTÊ@
@filtering pot@|@Siduko, ZIDUKÂ@
@finally@|@ÊNWANGISKAN@
@finch@|@Swibe, ZWILÊ@
@finds@|@ÂUPALÂ, aupallai@
@finger@|@PÎRSTAN, Pirsten@
@finger-nail@|@Nagutis@
@finger-rings@|@prêipîrstans, PRÊIPÎRSTANS@
@finish@|@wangint@
@fire@|@Panno, PANU@
@firewood@|@MALKÂ, Malko@
@firm@|@drûktai, DRÛKTS@
@firmly@|@drûktai, DRÛKTÂI@
@first@|@Pirmas@
@fir-tree@|@ADLÊ@
@fish@|@Suckis, ZUKS@
@fishing rod@|@dalkis, DALKÎS@
@fist@|@KUNTIS@
@five@|@PÊNKJÂI, Piêncts@
@flag@|@cinyangus, KARJANGUS@
@flake-ashes@|@PLÊNIS, Plieynis@
@flame@|@LÂPS, Lopis@
@flank@|@Claywio, KLÊIWIJÂ@
@flat-bottomed barge@|@WÎTINÊ, Witinne@
@flax@|@LINAN, lino@
@flea@|@BLUSÂ, Bluskaym@
@flesh@|@MÊNSÂ@
@flint@|@Nagis, NAGS@
