@to creep@|@dyl-@
@to cross a mountain@|@aš-@
@to crush@|@demir-, jemir-, uža-@
@to cultivate ground@|@tary-@
@to cut@|@bych-, kes-@
@to cut aslant@|@qyj-@
@to cut branches@|@buda-@
@to cut into slices@|@tuhra-@
@to cut off edges@|@chert-@
@to dance@|@pije-le-@
@to dawn@|@at-@
@to decrease@|@qoq-@
@to defecate@|@chych-@
@to determine@|@daza-, jaza-@
@to die@|@öl-@
@to dig@|@qas-@
@to diminish@|@qoro-@
@to dive@|@chöm-@
@to divide@|@üle-, üleš-, ülöš-@
@to draw near@|@du-, jü-@
@to drink@|@ich-@
@to drive@|@ajda-@
@to drive away@|@sür-@
@to drop@|@tam-@
@to dry@|@quru-@
@to dry off@|@sür-@
@to eat@|@de-@
@to end@|@büt-@
@to entangle@|@chaly-@
@to enter@|@kir-@
@to envy@|@küjün-@
@to err@|@dangyl-@
@to extend@|@ula-@
@to extinguish@|@öch-@
@to fall upon@|@tabar-@
@to feel@|@ses-@
@to file@|@ege-@
@to find@|@tap-@
@to flap@|@delbi-, jelbi-@
@to flow@|@aq-@
@to forget@|@undu-, ungdu-, ungtu-@
@to freeze@|@üžü-@
@to get accustomed@|@enchik-@
@to give@|@ber-@
@to gnaw@|@kemir-@
@to go astray@|@as-@
@to go away@|@ket-@
@to go in a direction@|@umzan-@
@to go mad@|@al-yn-@
@to grasp@|@qarba-, tut-@
@to grow@|@ös-@
@to hack@|@tomur-@
@to hang@|@ker-, tart-@
@to hang on (smth.)@|@il-@
@to harness@|@dek-, jek-@
@to hate@|@jeri-, jikir-@
@to heal of a wound@|@büt-@
@to heap up@|@ü-@
@to hear@|@uq-@
@to hit@|@toqul-da-@
@to hobble@|@tuža-@
@to howl@|@mörö-@
@to imitate@|@ökten-@
@to itch@|@qychy-@
@to jump@|@segir-, sekir-@
@to keep watch@|@qadar-@
@to kill@|@öltür-@
@to knead@|@dura-, jura-@
@to kneel down@|@chögö-dö-@
@to know@|@bil-@
@to lap@|@japla-t-@
@to lean@|@tajan-@
@to lick@|@dala-, jala-@
@to listen@|@tyngda-@
@to long for@|@qyn-, qynyq-@
@to make@|@qyl-@
@to make holes@|@teš-@
@to melt@|@eri-, sysqyr-@
@to migrate@|@köch-@
@to milk@|@sä-@
@to moo@|@orla-@
@to move@|@qyjmyqta-@
@to nod@|@üküs-@
@to offend@|@küj-dür-@
@to ooze@|@sys-@
@to open@|@ach-@
@to order@|@bujur-@
@to overwhelm with kindness@|@d'öžo@
@to paint@|@pojo-, poju-@
@to patch@|@dama-, jama-@
@to peck@|@choqu-@
@to persuade@|@qym-@
@to pick@|@oj-@
@to pierce@|@saj-@
@to pinch@|@chymchy-@
@to plait@|@ör-@
@to play@|@ojno-@
@to pour out@|@tök-@
@to press@|@bas-, pas-, syq-@
@to press together@|@qypchyn-@
@to prop@|@taja-@
@to rain@|@da-, jä-@
@to rake@|@küre-@
@to reach@|@det-, jät-, tij-@
@to restrain oneself@|@tijin-@
@to revive@|@tiri-l-@
@to revolve@|@ajla-@
@to ring@|@qongro-@
@to rise@|@qaly-@
@to rize@|@min-@
@to rob@|@tala-@
@to roll down@|@qula-@
@to rot@|@chiri-@
@to rub teeth@|@qaira-@
@to sacrifice@|@chohyr-@
@to say@|@de-@
@to scatter@|@byrk-yra-@
@to scold@|@arba-n-@
@to scoop@|@sus-@
@to search@|@tinti-, tyndy-@
@to see@|@kör-@
@to sell@|@sat-@
@to send@|@ij-, ys-@
@to separate@|@ajry-@
@to sew@|@chi-de-@
@to shadow@|@kölö-, kölöngö@
@to shake@|@jalbra-, silki-@
@to shamanize@|@qamda-@
@to shine@|@dary-, jar-@
@to shout together@|@orlas-@
@to show respect@|@qaj-@
@to sift@|@elge-@
@to sink@|@pat-@
@to sit@|@otur-@
@to sleep@|@dat-@
@to slide@|@qaj-, taj-@
@to snatch@|@qap-@
@to soothe@|@enchi-le-@
@to speak@|@süle-@
@to spit@|@tükür-@
@to split@|@dar-, jar-@
@to spread@|@das-, jas-@
@to spread out@|@töžö-@
@to stand@|@tur-@
@to step@|@alta-@
@to stick in@|@suq-@
@to stick into@|@qada-@
@to stick to@|@duq-, juq-@
@to strike fire@|@chaq-@
@to submerge@|@chöng-@
@to suck@|@sor-, sör-, soru-@
@to swallow@|@dut-@
@to sweep@|@sibir-, sybyr-@
@to swell@|@köp-@
@to tack@|@köktö-@
@to take@|@al-@
@to take a mouthful@|@ürt-a-@
@to take an oath@|@ant-yq-@
@to tear out@|@qodor-@
@to test@|@syna-@
@to threaten@|@seste-@
@to tie in a knot@|@tüj-@
@to tie up@|@bü-, po-, pö-, pu-@
@to torture@|@qyj-, qyjna-, qyjyn@
@to turn@|@ebir-@
@to turn back@|@dan-, jan-@
@to turn sour@|@iri-@
@to unite@|@qabyr-@
@to untie@|@chech-@
@to urinate@|@sij-@
@to vomit@|@qus-@
@to wait@|@küj-@
@to wake up@|@ojhon-, ujhun-@
@to wake up (trans.)@|@ujhus@
@to walk@|@bar-, dor-@
@to wave@|@qula-@
@to wear out@|@üra-@
@to win@|@deng-, jeng-@
@to wish@|@qymzyn-, qysqan-@
@to wrap round@|@tolho-@
@to yearn@|@qunal-, qunan-, qunuq-@
@together@|@qamyq@
@tooth@|@diš@
@top of boots@|@qonch, qonych@
@top of head@|@töbö@
@torch@|@jula@
@trace@|@is@
@trachea@|@ked'ir@
@tramp@|@tep-@
@treasures@|@üp@
@tree@|@ahaš@
@tribe@|@uq@
@tripod@|@tahan@
@trot@|@del-, jäl-, mang@
@trust@|@ižen-@
@tuck@|@qym-@
@turf@|@chemene, jong, tunä@
@two@|@eki@
@udder@|@deli, jelin@
@uncle@|@taj, täj@
@understanding@|@ses@
@unite@|@qoš-@
@unrelated@|@öj@
@unsubstantial@|@duqa@
@upset@|@alhas@
@valley between mountains@|@bük@
@variegated@|@ala@
@vein@|@tamyr@
@very@|@eng@
@very much@|@tümen@
@vessel@|@könök@
@viburnum@|@balan, changyš@
@voice@|@ün@
@vulture@|@ular@
@vulva@|@am@
@war@|@du, jü@
@warm@|@dylu@
@wart@|@söl@
@watch@|@baq-@
@water@|@sü@
@waterfall@|@uchar@
@water-lily@|@tumhajaq@
@wave@|@qom@
@we@|@mis@
@weasel@|@küzen, toqtonoq@
@wedge@|@chiiš@
@weep@|@yjla-@
@weeping@|@syhyt@
@weft@|@arkü@
@what@|@ne, neme@
@whetstone@|@bilü@
@which@|@qaj@
@whirlpool@|@op-kyn@
@white@|@aq@
@white lead@|@obo@
@who@|@kem@
@wicked@|@daman, jaman@
@wide@|@keng@
@widower@|@tul@
@wild game@|@ang@
@wild goat@|@elik@
@wild mountain she-goat@|@dumha@
@wild onion@|@köbürgen@
@willow@|@qabaq, qabaq, qäq, qäq, tal@
@wind@|@del, jel@
@wind round@|@buru-@
@window@|@tünük@
@windpipe@|@öch@
@wing@|@qanat@
@winter@|@qyš@
@winter rye@|@dadahan@
@without saddle@|@dabydaq@
@wives of brothers@|@bada@
@wolf@|@börü@
@wonder@|@tang@
@wood hen@|@pegem@
@woodcock@|@kürte@
@wooden board@|@kölzök@
@wool@|@dung, jum, jüng, jym@
@world tree@|@baj terek@
