@English@|@Kott@
@swamp@|@oltakng, oltëg, oltex, oltëx@
@swan@|@šïgán, šïgi@
@sweat@|@apïkng, apïkngán@
@sweet@|@falang, fil, filang, phalang@
@sweetly@|@palanga@
@tail@|@fugai, fugaj, fugajang, fukai, fukajang, phugai, pis, pugáj@
@temple@|@axšei hengai@
@ten@|@haga, hágiang, xaha@
@tent@|@hung, hus@
@testiculi@|@kanchal@
@that@|@ujöm@
@then@|@hem@
@they stand@|@jatyken@
@thick@|@hagal, hakal, puchar@
@thigh@|@fëpar, phëpar@
@thin@|@fachan, phachan, theür@
@think@|@anangajakng@
@thirty@|@-thukng, tön-thikng, tontuku@
@this@|@inu@
@thou@|@au, auong@
@three@|@tonchi, tongä, tönga@
@throat@|@kankoi, konkoj@
@thunder@|@ajak, aják, ajakan@
@tin@|@ymatyp@
@to ask@|@tivíj@
@to bark@|@alacamang, alcam, dachamang, dächamang@
@to bathe@|@ulšujakng, ulšujáthákng@
@to be born@|@igejang@
@to be covered@|@dugöttang@
@to be silent@|@atpifunakng@
@to bear@|@agejang@
@to become fat@|@fäligäkng@
@to bend@|@daki, danki, dökiang, dönaki, dönakiang@
@to bind@|@šigang, šingang@
@to blow@|@alfu, baláfu, balafujang@
@to boil@|@auganang@
@to burn@|@chaiganang, hat akfätekng@
@to buy@|@kapäkng@
@to call@|@axha'ajang@
@to catch@|@achangakng, achangälchek, achangökng, achanthäkng, achanthälchek, achantholä'uki, achantholölng@
@to clean@|@ölapajang, öläpi, öpajang@
@to climb@|@hantïng, he'ütang, hëna'ütang, hëncut@
@to come@|@itöj-@
@to conjure sorcery@|@šënangäkng@
@to cover@|@dagei, degeä, dugoättang@
@to deceive@|@arathachapajang, arathala, arathalapajang, aruthalapi@
@to die@|@daxajang@
@to dig into@|@kalpi ëštajang@
@to divide@|@takthäkng, taxthäkng@
@to drink@|@olapang, öpang@
@to dry@|@äšïgalang, ušigalang@
@to dry out@|@ïgalaichejákng@
@to expel@|@adajang, dajang@
@to extinguish@|@alfi, öfiang, ölafi, ölafiang@
@to fasten@|@do'ütang@
@to find@|@bapukng, mampukng@
@to flay@|@thagakng, thanax, thönage, thönakng@
@to fly@|@anthax, anthikng@
@to forge@|@afu-akng@
@to forget@|@ënengaiše@
@to frighten@|@acha'athakng, achenchagan@
@to girdle@|@fantax, fónatákng, fótákng@
@to glue@|@fit öginang@
@to go@|@hejang, pulanajáha, pulánujáha@
@to grind@|@hienligit, hiensigit, hingit@
@to hack@|@agathakhang, agathakng, agathalcek, agtholökng, háran-chex, hárangálchex, hárangöcheang@
@to hang@|@feštajang, fötajang@
@to hold@|@-boq, -doq, -roq, duotebaq, duoteberaq, uotegdaq, ut-ax@
@to hunt@|@apëj-@
@to jump@|@aštökng, ithakng@
@to kill@|@oga'acheang@
@to lash@|@dalathi, dalthi, dölathiang, dothiang@
@to laugh@|@chakajang@
@to learn@|@šitätiákng, šitätigákng@
