@English@|@Hindi@
@chicken@|@murrgee@
@child@|@aulaad, santaan@
@child(ones own)@|@aulaad, santaan@
@children@|@bachchein@
@china@|@cheen@
@chinese@|@chinee@
@chronology@|@kram@
@church@|@girija ghar@
@cinema@|@chal chitra@
@cinnamon@|@dalchinee@
@circle@|@vartool@
@circular@|@vartool-aakaar@
@circulation@|@prasaar@
@citizen@|@naagrik@
@city@|@nagar, shahar@
@civil engineering@|@sthaapatya abhiyantrikee@
@clap@|@talee@
@clarity@|@spashtataa@
@class@|@shrainee@
@classic@|@utkrishta@
@classification@|@vargeekaran@
@clay@|@mittee@
@clean@|@nirmal, saaf@
@clock@|@ghadee@
@cloth / garment@|@vastra@
@clothes@|@kapadé, vastra@
@cloud(general)@|@baadal@
@clove@|@laung@
@clown@|@vidooshak@
@clue@|@suraag@
@clumsily@|@anadipan se, bhaddepan se@
@clumsy@|@bedaul, bedhang, bhadda, sthool@
@cluster@|@guchchha, samooha, sangh@
@clutch@|@mooth, pakad, panjaa@
@clutter@|@hadbadaahat, kolaahal@
@coach@|@Gaadi@
@coach(trainer)@|@prashikshak@
@coal@|@koylaa@
@coalesce@|@jud jaanaa, milnaa@
@coalition@|@mel, sanyog@
@coarse@|@bhadda, gaadhaa, moataa@
@coast@|@kinaaraa, samudra tat, seema@
@coat@|@aavaran, khaal@
@coating@|@lep@
@cobbler@|@chammhaar@
@cobra@|@bhujang, saanp@
@cobweb@|@makdee ka jaalaa@
@cock@|@kukkut, murrgaa@
@cockatoo@|@kakatooaa@
@coconut@|@nareeyal@
@code@|@sanhitaa@
@code(used by military)@|@sainik chinh pranaali@
@coerce@|@vivash karnaa@
@coercive@|@laachaari, pratirodhi@
@coeval@|@samakaaleen@
@cog@|@chakradant@
@cogent@|@balwaan, pakka@
@coherent@|@sanlagnaa@
@cohesion@|@lagaav, sambandh, sanyog@
@coin@|@mudraa, sikkaa@
@coincidence@|@sanyog@
@coincident@|@milta huaa, samaan@
@cold@|@sard, thandaa@
@cold drink@|@sheet peya@
@collar@|@pattaa@
@collateral@|@samaanaantar@
@colleague@|@sahkaari, sahpaathi, sahyogee@
@collection@|@sangraha@
@college@|@mahavidyalay@
@colour@|@rang@
@combat@|@yudhh@
@come in.@|@andaar aao.@
@comet@|@dhoomketu@
@comic@|@haasyakaarak@
@command(n)@|@hukm@
@commerce@|@vaanijjya@
@commercial sex worker@|@vaishya@
@committee@|@samitee@
@common cold@|@sardi@
@communism@|@saamyawaad@
@comparison@|@tulanaa@
@competition@|@spardhaa@
@competitor@|@prateespardhee, spardhak@
@compiler@|@sankalankarrtaa@
@complaint@|@shikaayat@
@complete@|@poorna@
@complex@|@jateel@
@complicated@|@paincheedaa@
@complimentary@|@abheewadanparr@
@compound(chemical)@|@saynyug@
@compulsory@|@aneevaryaa@
@computer@|@sanganak@
@computer  engineering@|@sanganak abhiyantrikee@
@concentric@|@samakendra@
@concept@|@sarvasaadharan kalpanaa@
@conclusion@|@nirrnay@
@conclusive@|@nirrnayak@
@condition@|@awasthaa@
@condition(state of being)@|@awasthaa, haalat@
@condition(to be fulfilled)@|@sharth@
@conduct(behavior)@|@aacharan@
@cone@|@shankoo@
@conference@|@sabhaa@
@confirmation@|@pushhtee@
@consciousness@|@hosh@
@constant(math)@|@sthiraank@
@contagious@|@sansargjanya@
@container(small)@|@dibbaa@
@continents@|@khand@
@continuously@|@lagataar@
@contract / deal@|@karaar@
@contraction@|@sikudan@
@control@|@kaboo, niyantran@
@control room@|@niyantran kaksha@
@conversation@|@sanwaad, vaartalaap@
@convict@|@aaroapee, aparaadhi, doashee@
@cookery@|@paak kritee@
@cool@|@sard, thandaa@
@copper@|@taamba@
@corner@|@koana@
@corrupt@|@bhrashtt@
@corruption@|@bhrashttaachaar@
@cost@|@daam@
@cost / price@|@keemat@
@costly@|@keemti, mehangaa@
@costume@|@pehnaavaa, poshakh@
@cottage cheese@|@paneer@
@cotton@|@kapaas@
@cough@|@khansee@
@count@|@gananaa, gintee@
@country@|@desh@
@courage@|@shourya@
@courtyard@|@aangan@
@cow@|@gaai@
@coward@|@darrpoke@
